X0,LUM_crop1,TMRM_crop1,LUM_crop2,TMRM_crop2,LUM_crop3,TMRM_crop3,LUM_crop4,TMRM_crop4
114,3786.3428,341.014,3419.4441,529.8287,3837.1814,643.9224,3548.3286,467.7816
115,3789.4883,324.5381,3418.3911,526.3672,3834.5007,694.4449,3555.7339,439.8656
116,3806.1333,331.7104,3425.3232,538.1434,3832.0337,647.4047,3557.0095,450.4999
117,3800.8921,331.7081,3416.8064,509.7337,3875.8154,600.8026,3558.8574,473.7257
118,3790.1428,336.905,3420.7424,503.5296,3828.5188,629.9992,3556.8362,444.9931
119,3792.7375,330.8071,3414.1882,503.2527,3829.5049,618.8197,3574.5264,445.1307
120,3790.1392,333.8711,3405.8042,514.9238,3827.9395,633.2913,3568.4453,438.9191
121,3791.4414,331.7929,3409.4299,547.6619,3821.0308,624.051,3566.2051,434.1823
122,3800.5745,333.8761,3410.4712,537.4648,3838.7908,625.9262,3572.9739,458.5846
123,3806.6465,336.8142,3415.7686,507.5822,3821.7524,585.7469,3575.6223,441.9961
124,3792.4131,332.1687,3433.5254,564.1763,3831.5847,588.4939,3574.1516,447.2085
125,3793.3501,336.2249,3422.8789,533.7842,3830.2524,606.1266,3578.7766,459.7847
126,3807.8748,345.5155,3423.8064,495.7176,3838.2363,567.3581,3586.4023,441.8271
127,3806.6418,338.4604,3423.947,530.2957,3826.5574,586.084,3580.8137,451.5377
128,3698.7214,361.0744,3356.0706,534.0278,3728.7593,590.8857,3550.9539,484.3043
129,3594.4033,391.0276,3291.2827,550.3141,3636.825,609.7089,3511.7305,520.4951
130,3583.259,420.9991,3295.5303,550.4197,3617.2332,611.2745,3519.6858,592.7054
131,3579.1074,432.3352,3314.5891,561.6347,3635.355,651.2349,3515.8035,612.1486
132,3603.6484,450.2301,3296.7017,599.9913,3632.0137,654.0562,3519.3982,631.0308
133,3597.8506,447.245,3323.0671,595.8202,3647.3181,616.683,3524.1345,639.7858
134,3583.8333,449.8051,3304.5747,603.7325,3622.998,662.3203,3515.7866,678.095
135,3614.5698,455.5874,3277.6511,586.2975,3621.7969,657.219,3520.3792,680.7939
136,3587.2341,447.7204,3284.0149,573.9824,3625.7712,647.2328,3518.5876,684.5432
137,3599.0605,447.5726,3277.0049,646.1817,3618.1411,636.8391,3511.7053,724.6307
138,3571.1753,458.4287,3287.6499,597.3207,3613.6616,671.6765,3534.1116,705.8591
139,3580.5623,450.3523,3269.4568,596.1673,3619.2693,649.8119,3529.5234,722.4476
140,3596.8101,456.3269,3260.8845,621.6075,3601.8779,660.3356,3508.5022,733.795
141,3575.3005,449.3787,3281.293,633.4061,3600.5479,655.2675,3516.738,702.9604
142,3558.7219,450.9792,3266.6523,609.4424,3603.8291,657.6443,3503.3389,706.8413
143,3570.2085,456.9057,3260.2188,617.355,3600.4954,626.9456,3516.6304,744.8456
144,3564.2676,451.5439,3252.1702,612.9489,3603.4919,698.771,3502.8035,753.438
145,3566.5762,444.1954,3246.8474,636.0945,3586.8838,643.2642,3504.6719,731.7388
146,3569.9265,464.2385,3240.5403,616.7308,3584.6255,655.9945,3504.8179,712.5653
147,3564.4409,455.2078,3239.3364,600.9422,3582.5996,681.3544,3509.7451,737.6584
148,3549.6179,456.9881,3236.2759,600.5706,3579.6912,682.7285,3499.1453,717.2571
149,3549.6689,460.7836,3251.6897,636.5977,3581.9785,651.6479,3497.2834,718.7493
150,3558.7751,449.198,3248.8071,615.6384,3567.8159,666.7105,3523.2444,735.2392
151,3570.3757,443.7299,3229.4021,625.8624,3568.2581,627.7989,3501.6167,726.7557
152,3551.8147,442.1843,3228.772,615.2244,3593.4824,651.3725,3504.2871,721.8176
153,3557.9316,434.6624,3227.7632,602.6671,3570.8215,625.4377,3507.5566,709.0176
154,3584.4561,442.893,3240.8442,610.4554,3584.4236,666.1585,3514.2107,711.9163
155,3573.427,448.3493,3245.2849,618.4879,3576.7129,652.3053,3527.9263,731.6694
156,3574.647,435.4244,3240.6714,603.9982,3586.4509,651.8118,3516.4607,729.9825
157,3584.2646,425.6215,3243.491,612.6959,3565.6445,660.6422,3524.3945,706.2686
158,3562.3616,436.5195,3233.345,623.0182,3558.8735,641.6211,3510.4207,720.2352
159,3577.6516,436.9088,3244.2715,592.5398,3570.2617,678.3271,3520.0283,708.9199
160,3571.5464,452.7757,3240.2966,589.1592,3558.2087,636.5978,3518.6196,698.7132
161,3574.3928,436.2705,3234.5852,618.0739,3558.4741,652.1709,3522.1458,707.6287
162,3574.6497,434.5555,3236.4324,636.5425,3556.3921,642.6235,3528.584,672.3727
163,3577.5176,440.4116,3249.7842,585.3202,3554.6531,666.7388,3521.9312,670.36
164,3597.1536,423.2599,3245.1943,606.2834,3554.4419,648.5564,3532.4861,673.2134
165,3572.7571,422.4667,3243.1001,606.1509,3554.6306,677.2231,3534.6655,685.9191
166,3589.6074,428.631,3237.7451,576.7656,3556.5935,627.2397,3531.6584,665.5938
167,3571.2493,432.6462,3242.5454,601.2492,3542.5496,633.4041,3531.656,656.7313
168,3619.2046,425.6771,3289.3005,593.6553,3538.3179,674.1146,3538.8052,666.252
169,3580.4001,422.035,3239.541,579.1585,3546.8701,629.9061,3522.1355,645.948
170,3582.2195,438.9024,3232.7891,591.9606,3549.8865,659.1478,3534.4861,668.5533
171,3572.1704,424.669,3241.3523,590.3732,3547.6731,660.3067,3531.9954,663.2361
172,3671.6843,377.0179,3307.9709,562.355,3622.6851,605.5449,3557.8069,590.4691
173,3748.6458,347.9203,3332.0491,509.5159,3688.24,589.1758,3596.2437,549.6823
174,3775.9666,333.5329,3347.7993,525.0496,3709.6074,611.6417,3603.8577,508.7197
175,3793.8484,324.0033,3349.646,526.9171,3702.9868,579.3558,3616.2522,516.8786
176,3770.5498,326.3373,3352.8645,481.9146,3700.4805,588.9475,3611.3691,474.0305
177,3779.3269,333.0562,3354.0444,484.9355,3708.0608,591.5575,3616.6316,466.0629
178,3767.9973,321.129,3345.9609,551.4988,3739.5962,579.664,3620.9126,444.5211
179,3787.6619,328.8855,3353.8118,509.4234,3714.4199,585.8146,3620.2922,456.8823
180,3786.3694,325.2598,3347.4836,506.9144,3707.4849,577.116,3643.5378,448.4953
181,3776.0137,327.6154,3356.79,527.8204,3702.0205,602.1222,3608.1206,452.1191
182,3766.5024,322.8588,3348.6003,532.1307,3715.5925,587.958,3616.3101,446.6448
183,3769.1812,331.9533,3338.4712,549.3013,3714.9243,547.5443,3616.7207,437.2723
184,3774.1196,330.6436,3323.0303,512.5206,3688.7927,560.5316,3604.5801,440.6701
185,3756.3979,318.3139,3335.4316,523.1313,3690.9648,615.2071,3608.4248,443.8896
186,3749.6899,330.4928,3312.8464,505.062,3680.179,572.4905,3599.2471,449.7226
187,3740.3447,320.1335,3308.1836,528.4594,3670.4053,589.7393,3599.8486,466.1714
188,3762.5557,337.7024,3342.7927,541.4576,3694.5779,585.6202,3607.2129,468.4344
189,3770.6479,318.1434,3375.6433,550.7332,3746.6731,586.0463,3626.8667,444.0177
190,3775.8655,328.6177,3381.1538,511.5575,3746.9031,611.6166,3628.2473,477.7559
191,3744.1079,331.6373,3359.7407,529.6918,3720.8081,616.8229,3606.332,474.0097
192,3739.3342,322.4471,3298.9858,526.2524,3686.5513,606.3875,3578.4802,469.7036
193,3727.3401,336.392,3292.21,517.9285,3677.0222,616.4122,3576.2495,471.5372
194,3712.7283,323.8458,3294.0054,528.509,3676.0959,610.6947,3596.4182,473.4298
