Hours,A1,A2,A3,A4
44,15.2638,15.5679,14.9936,17.0078
44.16666667,15.2088,15.6528,14.9512,17.111
44.33333333,15.1194,15.4996,14.9007,16.9249
44.5,15.0396,15.4626,14.9118,16.9545
44.66666667,14.9733,15.3995,14.8099,16.8036
44.83333333,14.943,15.3597,14.8224,16.7972
45,14.8114,15.2244,14.632,16.8003
45.16666667,14.7532,15.2686,14.6772,16.8039
45.33333333,14.7146,15.2103,14.6732,16.6834
45.5,14.6941,15.1984,14.7126,16.7385
45.66666667,14.7619,15.1247,14.6906,16.6776
45.83333333,14.6042,15.1057,14.5127,16.6572
46,14.7119,15.0444,14.6014,16.6387
46.16666667,14.6255,15.0762,14.5395,16.4836
46.33333333,14.5653,15.0578,14.3971,16.4647
46.5,14.577,14.8787,14.4379,16.4361
46.66666667,14.5162,15.0176,14.3604,16.4735
46.83333333,14.578,14.9018,14.3651,16.4585
47,14.3367,14.9328,14.3095,16.3929
47.16666667,14.4262,14.9298,14.2828,16.3393
47.33333333,14.3048,14.8578,14.3035,16.4108
47.5,14.2993,14.7881,14.2769,16.2648
47.66666667,14.2812,14.7901,14.2257,16.1671
47.83333333,14.1501,14.7652,14.2119,16.1207
48,14.1159,14.7764,14.1774,16.1477
