Hours,C1,C2,C3,C4,C5,C6,C7,C8
46.83333333,7726067,4491397,4636446,4207798,5108768,5320740,6213614,4758750
47,7740892,4434871,4642530,4233595,5174274,5329013,6229626,4762539
47.16666667,7751455,4443271,4672016,4238057,5202658,5307883,6213952,4764822
47.33333333,7759699,4435231,4653288,4184992.75,5298129,5257572,6153615,4786336
47.5,7826211,4440132,4631171,4224605,5334958,5262036,6086952,4773015
47.66666667,7915475,4376057,4691769,4258860,5306655,5234242,6101226,4777181
47.83333333,7920589,4408058,4670439,4232005,5351436,5241299,6069341,4805459
48,7918559,4417356,4650076,4214152,5413905,5212900,6069801,4808782
48.16666667,7866243,4397148,4592440,4244095,5429652,5171329,6126207,4794255
48.33333333,7728301,4341893,4568360,4280250,5429080,5137509,6069427,4785368
48.5,7680895,4317820,4565848,4219436,5479513,5139976,6048363,4805432
48.66666667,7707784,4335222,4544651,4171513,5533599,5133594,6106879,4825517
48.83333333,7670242,4400041,4565692,4159908,5486465,5128032,5967802,4819907
49,7620921,4341106,4612048,4174544,5470113,5082518,5928104,4741131
49.16666667,7624138,4294548,4557102,4224361,5461566,5005231,5972063,4739565
49.33333333,7582325,4299153,4548854,4257409,5425660,4968428,5940318,4770761
49.5,7500786,4280246,4520046,4235247,5435542,4884935,5875059,4689482
49.66666667,7408628,4263039,4494183,4227853,5485429,4877988,5823925,4589804
49.83333333,7279724,4242862,4454129,4246795,5427680,4918098,5827036,4560317
50,7210459,4182057.75,4423133,4217033,5373207,4901732,5785845,4543655
50.16666667,7142695,4139261,4373466,4177820,5358843,4847088,5696478,4526417
50.33333333,7122809,4163707,4345604,4146394,5373869,4792733,5645538,4530922
50.5,7060811,4109599,4343735,4134826,5438680,4752143,5545598,4571220
50.66666667,6894547,4119754,4282960,4134280,5373828,4700671,5533274,4573279
50.83333333,6884789,4129947,4289884,4161767,5310415,4726673,5593877,4582442
51,6765997,4092775,4256253,4161511,5308333,4766224,5509864,4532852
51.16666667,6347109,4001270,4091700,4106415,5191837,4698754,5260481,4397143
51.33333333,6159717,3944590,4002799,4049758,5075707,4590349,5096244,4342462
51.5,6178354,3930535,3947444,4057709,5068236,4599213,5075715,4343260
51.66666667,6179569,3916297,3898002,4072682,5034326,4570592,5065485,4353569
51.83333333,6084132,3860474,3906718,4059379,4991850,4585145,5060284,4373033
52,6025075,3834960,3926520,4068527,4964761,4589022,5051207,4419645
52.16666667,5951268,3859646,3911505,4097189,4952571,4553849,5008937,4416036
52.33333333,5952236,3923798,3925947,4073574,4934021,4521575,4932076,4379986
52.5,5943959,3938952,3911892,4091839,4921361,4520114,4913170,4378176
52.66666667,5900241,3946100,3869607,4063372,4947454,4533056,4902550,4422143
52.83333333,5899534,3938883,3838892,4015786,4897668,4505612,4893041,4419593
53,5906262,3932068,3850544,4039958,4880699,4472259,4904956,4386555
53.16666667,5933672,3905016,3874357,4035156,4898076,4447199,4903643,4403383
53.33333333,5966983,3842010,3872595,4062471,4875033,4458776,4866755,4443654
53.5,5980216,3832869,3863039,4105558,4909068,4470942,4850984,4441848
53.66666667,5981040,3816830,3817632,4081622,4910826,4416488,4821836,4435165
53.83333333,5969835,3823402,3814880,4118216,4862148,4420651,4783470,4429964
54,5946439,3844157,3797290,4124821,4943686,4416818,4752290,4433144
54.16666667,5917199,3861728,3834127,4091574,4966483,4419396,4708191,4463935
54.33333333,5943764,3847847,3895350,4107463,4918923,4428593,4721497,4477713
54.5,6183647,3901249,4007916,4204873,5000656,4500219,4891729,4620154
54.66666667,6697366,4087372,4262094,4321084,5150537,4766131,5134821,4776336
54.83333333,6940496,4226957,4370713,4453582,5348115,4849137,5245432,4854540
55,7007734,4257008,4388029,4476736,5436705,4835711,5291369,4902926
55.16666667,7082053,4245205,4423820,4463727,5485328,4853630,5252560,4958077
55.33333333,7173031,4244729,4424634,4466117,5524263,4870143,5197676,5054070
55.5,7191209,4266469,4454928,4562534,5571833,4902979,5237581,5063723
55.66666667,7246040,4294904,4466197,4586864,5572742,4974392,5213860,5092559
55.83333333,7270919,4279052,4420860,4566523,5533202,4975594,5143143,5116356
56,7360215,4264869,4502849,4605154,5534486,5009097,5120891,5160574
56.16666667,7384259,4233676,4521786,4626713,5539768,5002064,5163475,5161776
56.33333333,7418550,4208190,4536408,4667874,5565877,4992443,5140400,5181062
56.5,7408378,4226362,4600304,4714495,5601938,4987138,5075819,5189678
56.66666667,7438617,4213186,4540627,4694219,5633458,4979241,5045144,5166400
56.83333333,7526702,4248794,4526828,4650961,5645960,4977224,5060415,5270632
57,7588553,4248844,4561142,4698603,5648570,4977709,5016838,5312213
57.16666667,7681126,4188534.75,4553596,4720248,5683430,4961253,4937124,5358172
57.33333333,7691728,4173981,4545991,4687529,5670172,4947164,4918671,5373937
57.5,7658938,4170164,4572633,4721238,5690286,4918562,4938626,5362537
57.66666667,7616099,4183165,4531817,4687471,5679995,4975007,4870719,5394300
57.83333333,7618526,4183037,4517405,4673886,5607851,4978540,4868788,5424164
58,7567851,4211334,4550121,4722813,5606183,4915180,4813667,5462282
58.16666667,7545710,4142405,4529926,4731386,5607206,4880940,4773003,5427954
58.33333333,7519139,4052968,4507223,4773656,5560143,4854858,4781698,5380046
58.5,7416536,4062200,4477382,4856271,5517520,4790525,4744022,5384885
58.66666667,7257859,4037289,4414086,4834350,5492238,4766336,4603314,5376284
58.83333333,7186173,4030736,4362813,4706705,5412066,4789691,4576037,5354145
59,7180193,4004784,4347247,4656104,5375396,4736472,4593751,5406672
59.16666667,7149141,3969666,4281106,4620148,5322298,4621349,4541233,5346098
59.33333333,7076598,3915892,4230025,4627316,5303012,4583956,4509432,5302902
59.5,6962133,3860132,4168389,4655269,5290908,4548218,4478759,5354306
59.66666667,6881707,3872537,4109281,4618665,5237576,4494936,4443301,5324303
59.83333333,6660742,3834717,4010703,4500983,5109912,4407319,4353515,5219554
60,6451522,3751813,3894439,4447971,5010299,4310166,4254819,5108921
60.16666667,6354839,3709510,3863966,4476859,4994948,4311823,4251529,5093924
60.33333333,6373717,3682374,3834132,4490778,5020232,4363472,4231700,5091621
60.5,6425850,3653740,3811957,4497405,5058451,4330799,4212067,5116706
60.66666667,6364999,3682361,3813481,4461894,4978980,4299728,4270468,5128328
60.83333333,6370747,3694772,3832236,4470245,4929973,4302573,4253097,5105202
61,6477828,3707061,3814942,4444266,5009697,4315774,4216587,5076488
61.16666667,6520152,3683070,3790506,4407534,5004624,4276378,4237938,5097991
61.33333333,6499335,3649119,3800536,4391408,4997603,4269537,4269007,5154774
61.5,6562751,3691760,3759162,4389764,5004519,4275670,4294952,5193703
61.66666667,6572653,3683094,3766480,4491949,4970939,4293466,4281820,5177415
61.83333333,6562155,3678872,3790077,4498742,4927642,4343492,4303957,5176949
62,6572659,3680224,3780508,4430595,4920737,4324242,4278191,5143462
62.16666667,6571930,3649673,3773925,4467405,4980793,4344877,4239927,5151020
62.33333333,6562696,3647494,3810229,4461131,4969260,4320519,4285965,5190536
