0.528,9085208,5492796,8402903,5803224,11678568,6430097,6677105,5696216,NaN,5740961,NaN,5542535
0.535,9160788,5482178,8292179,5809223,11520906,6447108,6666810.5,5666769,NaN,5732004,NaN,5548687
0.542,9173111,5489752,8234710,5875465.5,11529678,6473049,6666421.5,5654017,NaN,5738653,NaN,5618777
0.549,9213754,5515896,8239923,5850997,11575006,6444698,6684617,5623272,NaN,5761871.5,NaN,5719298
0.556,9229603,5477080,8173095,5818225,11552521,6357999.5,6722227,5691957,NaN,5712949,NaN,5650413
0.562,9216450,5515349,8157309,5806316,11509850,6380583,6693966,5679292,NaN,5707214.5,NaN,5624502
0.569,9232834,5570323,8135076,5806871,11724489,6372040.5,6754505,5617714,NaN,5759624,NaN,5670616
0.576,9286590,5562187,8048640,5812057,11825700,6358341,6784338,5628174,NaN,5809687,NaN,5707188.5
0.583,9262180,5542362,8067958.5,5732131,11491003,6360346,6680442,5671352,NaN,5786250,NaN,5760040.5
0.59,9270080,5565674,8046907,5700343,11145553,6391965.5,6553254.5,5677647,NaN,5791095,NaN,5763030
0.597,9326845,5585868,7963865,5710199,10904726,6379687,6526749,5716991.5,NaN,5774410.5,NaN,5832959
0.604,9314771,5602403,7971398,5718414.5,11269177,6288366,6646223,5822763,NaN,5722294.5,NaN,5936303
0.611,9309540,5666175,8111323,5700600,12098963,6245371.5,6829963.5,5929345,NaN,5725176.5,NaN,5980110
0.618,9384508,5685801.5,8129506,5666197,12092467,6331889.5,6857832,5954820,NaN,5743267,NaN,6073609
0.625,9384508,5685801.5,8129506,5665905,12092467,6331889.5,6857832,5950919,NaN,5743267,NaN,6073609
0.632,9431531,5706719.5,8136383,5719464,12071912,6334258,6873107,5978625,NaN,5719533,NaN,6070176.5
0.639,9371536,5700636,8097064,5710823,11975488,6342834.5,6886175.5,6053551,NaN,5799432.5,NaN,6109380.5
0.646,9392181,5716244,8126185,5712814,12026584,6313845.5,6855618.5,6110194,NaN,5828420,NaN,6208878
0.653,9362888,5739164,8152969,5686390,12009732,6350801,6920396,6155422,NaN,5789045.5,NaN,6376383
0.66,9343181,5749405.5,8179719,5628573,11892956,6327120,7000395,6138196,NaN,5800296,NaN,6347424.5
0.667,9422523,5677064,8245590,5612040,11803913,6306611,6935443,6160743.5,NaN,5830711,NaN,6361877
0.674,9469721,5693970,8256025.5,5573093,11843847,6315452,6985040,6204076.5,NaN,5835429,NaN,6385042
0.681,9539443,5681433,8283306,5565580,11888914,6285314,7024435,6150415.5,NaN,5830183,NaN,6372623
0.687,9560404,5642312,8302947,5565418,11736281,6265554,7009876,6168476,NaN,5802393,NaN,6367431
0.694,9561142,5566216,8402444,5580256,11613785,6232146,7001815,6261482,NaN,5816117,NaN,6433644.5
0.701,9562546,5591995,8484752,5602070,11561746,6215403.5,6990788.5,6270918.5,NaN,5846936,NaN,6477995.5
0.708,9547381,5626379,8543457,5576795,11504485,6248429.5,6961020,6403071.5,NaN,5804054,NaN,6591387
0.715,9614067,5590321,8642218,5564614,11337375,6264553,6921569,6412276.5,NaN,5773580,NaN,6742976
