Hours,cfl-1,cfl-2,cfl-3,cfl-4,cfl-5,cfl-6,cfl-7,cfl-8,ncfl-1,ncfl-2,ncfl-3,ncfl-4,ncfl-5,ncfl-6,ncfl-7,ncfl-8
15.83333333,7486627,4378986,5873285,4161016,6142624,5829405,6041382,5493374,9368718,5323532,7354819,5474463,11064076,5701161,6955329,6654655
16,7566802,4351964,5833178,4146034,6113876,5829265,6075340,5583346,9317332,5290896,7315838.5,5529737,11106707,5688781.5,6942660,6581471
16.16666667,7523596,4399558,5753071,4143029,6046697,5816054,5997983,5550560,9186356,5319608,7338505,5564899,11052296,5647399,6924183.5,6629283
16.33333333,7523596,4399558,5753071,4143029,6046697,5816054,5997983,5550560,9141011,5285461,7320896,5462982,11006629,5613410,6863199,6684484
16.5,7593055,4386033,5723238,4138274,6016065,5852188,6012543,5559690,9182472,5283910,7344081,5429741,10957455,5577047,6882501.5,6777951
16.66666667,7492884,4387990,5748019,4142859,6019329,5843092,6076787,5537033,9175005,5265309,7312704,5472371,10799939,5589952,6870327,6712832
16.83333333,7520779,4361597,5740947,4142283,6098655,5799357,6003795,5550076,9187775,5258894,7305294,5532418,10808615,5547889,6879816,6409202
17,7507551,4334584,5716800,4135508,6104184,5794035,5982246,5578058,9184566,5304679,7252180,5539674,10888863,5500424,6949103.5,6277495.5
17.16666667,7545686,4369325,5720074,4111596,6046947,5809716,6032189,5605052,9202855,5219784,7228066.5,5525968,10767358,5488648,6861083.5,6289897
17.33333333,7571265,4390321,5707070,4110911,6092889,5839543,5989883,5574012,9245894,5194625,7311718.5,5519541,10693803,5468239,6872604,6400337.5
17.5,7688130,4419319,5662019,4118540,6038372,5801687,5912373,5568987,9193632,5199040,7272486.5,5523232,10681564,5487230,6907620,6637172
17.66666667,7657082,4432333,5705768,4083152,6063186,5796105,5992671,5629892,9149511,5158936,7205552,5513644,10524337,5455453,6863807.5,6662341
17.83333333,7657082,4432333,5705768,4083152,6063186,5796105,5992671,5629892,9194013,5126513,7249431,5485896,10585127,5424346,6857742.5,6681485
18,7612381,4444484,5673847,4075219,6039603,5705607,5970687,5612817,9211483,5123811,7363199,5518116,10488044,5432066,6835471.5,6639584
18.16666667,7612760,4447392,5618332,4086603,5995449,5731641,5887756,5671268,9225179,5125802,7356009,5505489,10404375,5423435,6844930,6628101
18.33333333,7729199,4432642,5594347,4077812,6022218,5721578,5896609,5604947,9223347,5193672,7312141,5481341,10449011,5391346,6863549,6634566
18.5,7754517,4435478,5572034,4098029,6065618,5685785,5887069,5604346,9238724,5231919,7259565.5,5474112,10490290,5349941,6908783,6651790.5
18.66666667,7727927,4442749,5532959,4130919,5987071,5764258,5895092,5606314,9305366,5144867,7224765,5493071,10445020,5306741,6928270,6681893.5
18.83333333,7736728,4476105,5500972,4088978,6009266,5787342,5909037,5602070,9388193,5079700,7245364,5530056,10493689,5303746,6904966,6723385
19,7786912,4521884,5485260,4086275,6026481,5751293,5922247,5617757,9408145,5034958,7218947.5,5532606,10511617,5344957,6925167,6711060
19.16666667,7848545,4514781,5538213,4107713,5981247,5747175,5941533,5607020,9376789,5057345,7246719,5498575,10490294,5310484,7005457,6684324.5
19.33333333,7898314,4498911,5562003,4141014,5961579,5755352,5879099,5617251,9321366,5118318,7298739,5499552,10534789,5302010,7107251.5,6690705
19.5,7919125,4520373,5560461,4094417,5985599,5820693,5811368,5614975,9236267,5132349,7287303,5526930,10506022,5307322,7158959.5,6731807
19.66666667,7988470,4471009,5446094,4073074,5913140,5730160,5806741,5575599,9264047,5055639,7291300,5560098,10421705,5237599,7092806,6731753
19.83333333,7877076,4410852,5231906,4066533,5691325,5493443,5619787,5414564,9294516,5062907,7341183,5543705,10253344,5245793,7068853,6657056.5
20,7493510,4286558,4947730,3994860,5476542,5280578,5305348,5205757,9337157,5061315,7284274,5607146,10091988,5243224,7054822,6636144
20.16666667,7373315,4225582,4847703,3944194,5393240,5215707,5213870,5147451,9392503,5040602,7234167,5540459,10000986,5223311,7040158.5,6692393
20.33333333,7596045,4313841,4929821,3958647,5492829,5285907,5290597,5197549,9386536,5022284,7201776.5,5489064,9970400,5207849,7043774.5,6762298.5
20.5,8004016,4429466,5056123,4026149,5667020,5421558,5468754,5295497,9304989,5029488,7168363.5,5517241,9912562,5205453,6952907,6738437
20.66666667,8260356,4512081,5214408,4066858,5803581,5513181,5662106,5376389,9250589,5043754,7169012,5490402,9871027,5201172,6959280,6693094
20.83333333,8331705,4545495,5221509,4118114,5836315,5605396,5718640,5350456,9300501,5009662,7178589,5490137,9813875,5218837,6876029.5,6683046
21,8277559,4495297,5221449,4116374,5882783,5656723,5654684,5375044,9260815,4992133,7113600.5,5512092,9748532,5200478,6818981,6690337
21.16666667,8370867,4511407,5281510,4122062,5989146,5662226,5675603,5413762,9304416,4998440,6981473.5,5490364,9815223,5184423,6846502,6732527
21.33333333,8514262,4559289,5313616,4131788,6029757,5739755,5763962,5487828,9401989,4984809,6939387.5,5467108,9771129,5190612,6808883,6764950
21.5,8590152,4557824,5308740,4168908,6068374,5665322,5781363,5448152,9482988,5018784,6964405,5394240,9805684,5144542,6811394,6744751
21.66666667,8590152,4557824,5308740,4168908,6068374,5665322,5781363,5448152,9488478,5005617,6890825,5391239,9763399,5127985,6836080.5,6785074.5
21.83333333,8611312,4555937,5299198,4187395.75,6112636,5691744,5800242,5410850,9537580,4957596,6860566,5414370,9565778,5166688,6732249.5,6821555
22,8583127,4585938,5296641,4152275,6153599,5695387,5821176,5433757,9517595,4900384,6922030,5374411,9467975,5175511,6708084,6855631
22.16666667,8632742,4563450,5295535,4156218,6194117,5657310,5817631,5532783,9547664,4848807,6824451.5,5359871,9531685,5123017,6700932,6866668
22.33333333,8632742,4563450,5295535,4156218,6194117,5657310,5817631,5532783,9486724,4975216,6748071,5420036,9480024,5146360,6662411,6897981
22.5,8680988,4560406,5280475,4160904,6207717,5653134,5838162,5551140,9398294,4723311,6773388,5457515,9408522,5100090,6595076,6880292.5
22.66666667,8693639,4544591,5244109,4169593,6296652,5686419,5752277,5485068,9407865,4998347,6740803.5,5391487,9315956,5122575,6568861,6898988.5
22.83333333,8664797,4617987,5227955,4193207,6221118,5709252,5741473,5457054,9411556,4923465,6730889,5390293,9367068,5198722,6538008,7056293
23,8695909,4551712,5258275,4130450,6221609,5675475,5785523,5431428,9427815,4852239,6781124,5422161,9305152,5244613,6515459.5,7192759
23.16666667,8735107,4463567,5230414,4117688,6263943,5667286,5771417,5444310,9490516,4856373,6791902,5399897,9188718,5216354,6503504,6989355.5
23.33333333,8707098,4515679,5218153,4101346,6222572,5704175,5741988,5486240,9548602,4823928,6740132,5407186,9055033,5183769,6453087,6879567
23.5,8637079,4505953,5169349,4068771,6113926,5617907,5797674,5459455,9516970,4828571,6747454.5,5434362,8998921,5157507,6375753,6842527
23.66666667,8379303,4420118,5034248,4029754,5859888,5433584,5689689,5326672,9586174,4835555,6732513,5487194,9031197,5146880,6323439.5,6797676
23.83333333,8027027,4296540,4806597,3966540,5677780,5262530,5488487,5215792,9670233,4817112,6709764,5451010,8983928,5168356,6292002,6790853
24,7729800,4220018,4719648,3902787,5660982,5162570,5305098,5150416,9717651,4798518,6663187,5391840,9036972,5183695,6334298,6815949
24.16666667,7663895,4171296,4684400,3903462,5636972,5174810,5294810,5113003,9762717,4806429,6605681,5424002,8937687,5197602,6388272.5,6862877
24.33333333,7858285,4182107,4756152,3991453,5765079,5269684,5409317,5183616,9776104,4837921,6586735,5452525,8898000,5156279,6371900.5,6875648
24.5,8305323,4332364,4943520,4080098,6087267,5413042,5653498,5269384,9803047,4817549,6544098,5421294,8906321,5151421,6364453.5,6768805
