B_1,B_3,B_4,T_1,T_3,T_4,G_1,G_3,G_4
7.575851393,7.334651899,3.637987013,11.19427245,8.115506329,7.017045455,4.499226006,3.238132911,3.301948052
7.969040248,6.663765823,4.061688312,11.25386997,7.673259494,6.847402597,5.394736842,3.371835443,3.049512987
7.978328173,6.159018987,3.630681818,12.72136223,7.797468354,7.391233766,5.729876161,2.990506329,3.209415584
7.898606811,5.955696203,3.590909091,12.86919505,7.90664557,7.310876623,5.063467492,3.183544304,3.07711039
8.627708978,5.521360759,3.715909091,14.83668731,8.392405063,6.82711039,5.441176471,2.977848101,3.212662338
8.503869969,5.856012658,3.841720779,14.4504644,7.852848101,7.540584416,5.809597523,2.89556962,3.17775974
9.242260062,4.704113924,3.397727273,16.8869969,6.954905063,7.599837662,6.68498452,3.339398734,3.151785714
9.095201238,4.261075949,3.654220779,17.15402477,7.067246835,6.911525974,6.899380805,3.182753165,3.064935065
9.680340557,4.231012658,3.689935065,20.15866873,6.449367089,7.337662338,8.044117647,2.974683544,3.206168831
9.947368421,3.654272152,3.710227273,23.67801858,6.535601266,7.336038961,8.784829721,3.046677215,3.120941558
9.749226006,3.761867089,3.603084416,21.3506192,6.465981013,6.869318182,9.825851393,3.316455696,2.964285714
10.52631579,3.564082278,3.784902597,22.42027864,6.176424051,7.49512987,9.47755418,3.386867089,2.825487013
10.3993808,3.399525316,3.609577922,22.26470588,7.027689873,7.232142857,8.780959752,3.096518987,3.086850649
10.08513932,3.607594937,3.845779221,22.5495356,5.723101266,6.568181818,8.559597523,3.016613924,3.073863636
9.978328173,3.924841772,4.435064935,22.24613003,6.478639241,7.044642857,8.601393189,3.175632911,3.190746753
10.44117647,3.403481013,3.593344156,21.11764706,6.717563291,6.578733766,7.906346749,3.060917722,3.175324675
10.41640867,3.393196203,3.680194805,20.8877709,6.273734177,6.635551948,7.348297214,3.02056962,3.462662338
10.22291022,3.460443038,3.928571429,20.00619195,6.27056962,7.00974026,5.589783282,2.742088608,3.250811688
9.514705882,3.848101266,4.296266234,17.59287926,6.574367089,6.655844156,4.681888545,3.223101266,3.055194805
9.184210526,3.493670886,3.857142857,18.51857585,6.633702532,6.857142857,4.825851393,2.844936709,3.400162338
9.339783282,3.53085443,3.504058442,16.10371517,6.421677215,7.274350649,4.322755418,3.204113924,3.293019481
9.053405573,3.422468354,4.223214286,16.14705882,6.609968354,7.26461039,4.52244582,2.969936709,2.861201299
8.744582043,3.974683544,4.829545455,16.10603715,6.766613924,6.785714286,5.123065015,3.175632911,3.135551948
8.089783282,3.378164557,5.286525974,16.31888545,7.265031646,6.903409091,5.394736842,3.226265823,3.11525974
8.616873065,4.129746835,4.243506494,14.72678019,6.065664557,7.436688312,4.53869969,3.101265823,3.209415584
7.292569659,3.613924051,3.961038961,13.85294118,6.624208861,6.74025974,5.212848297,3.192246835,3.709415584
7.031733746,3.639240506,3.950487013,13.43498452,6.59335443,7.306006494,4.364551084,3.162974684,3.090909091
6.54876161,3.495253165,3.715909091,13.68962848,6.399525316,7.642045455,5.024767802,3.140031646,2.973214286
6.949690402,4.11471519,3.475649351,14.05882353,6.133702532,7.122564935,5.975232198,3.08306962,3.185876623
6.030185759,3.639240506,3.597402597,12.10371517,6.64556962,7.711038961,5.486842105,3.067246835,3.439123377
5.844427245,3.471518987,3.438311688,12.73065015,6.731803797,8.043831169,4.679566563,2.877373418,3.467532468
6.18498452,3.71914557,3.879058442,11.91176471,6.735759494,6.81737013,4.740712074,3.136867089,3.418831169
6.164086687,3.486550633,3.607954545,12.57972136,6.14556962,7.316558442,4.583591331,3.070411392,3.207792208
6.441950464,3.881329114,3.50974026,13.09133127,7.154272152,7.356331169,4.543343653,3.106012658,3.408279221
