B_1,B_2,B_3,B_4,B_5,B_6,T_1,T_2,T_3,T_4,T_5,T_6,G_1,G_2,G_3,G_4,G_5,G_6,
4.412780656303973,4.1375,3.7483333333333335,3.5515418502202643,6.001712328767123,5.032749428789033,6.07426597582038,7.505681818181818,6.87,6.7162995594713655,8.836472602739725,6.405940594059406,3.0650546919976973,3.389772727272727,3.5275,3.213215859030837,3.683219178082192,3.118050266565118,
4.772020725388601,4.505681818181818,3.9625,3.79647577092511,5.269691780821918,5.388423457730388,6.236039147956246,7.266477272727273,7.386666666666667,7.184140969162995,9.142979452054794,6.0015232292460015,2.766263672999424,3.2017045454545454,3.4558333333333335,3.1674008810572687,3.2422945205479454,3.3594821020563597,
4.186528497409326,4.142045454545454,3.5933333333333333,3.3497797356828194,4.949486301369863,5.385376999238385,6.488198042602187,7.1215909090909095,7.091666666666667,6.377092511013216,7.149828767123288,6.183549124143184,3.144502014968336,3.1602272727272727,3.5658333333333334,2.7665198237885464,3.1361301369863015,2.9025133282559024,
4.700057570523891,4.4892045454545455,3.783333333333333,3.8123348017621144,4.405821917808219,5.095963442498096,6.743811168681635,7.283522727272727,6.7908333333333335,6.955066079295154,7.948630136986301,6.162223914699163,3.077720207253886,3.4585227272727272,3.171666666666667,2.922466960352423,3.297945205479452,3.1538461538461537,
4.428900402993667,4.3761363636363635,3.5375,3.579735682819383,5.053938356164384,5.327494287890327,6.033966609096143,7.661931818181818,7.2725,6.99295154185022,7.287671232876712,6.469154607768469,3.220495106505469,3.3551136363636362,3.6725,3.406167400881057,3.129280821917808,2.8141660319878143,
4.566493955094991,4.838636363636364,3.375,3.5436123348017623,5.30736301369863,5.600913937547601,6.659182498560737,7.9988636363636365,7.4175,6.863436123348017,8.543664383561644,6.352627570449353,3.07426597582038,3.1795454545454547,3.2891666666666666,2.913656387665198,3.4726027397260273,3.041888804265042,
4.761658031088083,4.900568181818182,3.8666666666666667,3.6898678414096917,4.763698630136986,5.146991622239147,6.431778929188256,7.305113636363636,6.645833333333333,6.748017621145374,7.19263698630137,6.8012185833968015,3.062176165803109,3.255113636363636,3.3116666666666665,3.243171806167401,3.291095890410959,3.2322924600152323,
4.493379389752446,5.1380681818181815,3.7183333333333333,3.570044052863436,4.575342465753424,4.955064737242955,6.2199194012665515,7.723295454545455,7.368333333333333,7.079295154185022,7.601883561643835,5.923838537699924,3.2078295912492805,3.2426136363636364,3.4433333333333334,3.2502202643171807,3.252568493150685,3.245239908606245,
4.22279792746114,5.714772727272727,3.3183333333333334,3.7030837004405286,4.507705479452055,5.215536938309215,6.176741508347726,8.434659090909092,7.299166666666666,7.500440528634361,7.0881849315068495,5.963442498095963,3.2026482440990214,3.4039772727272726,3.2958333333333334,3.2123348017621147,3.3690068493150687,2.99009900990099,
4.575705238917674,5.486363636363636,3.8325,3.6599118942731277,3.968321917808219,4.865194211728865,6.332757628094416,8.222159090909091,6.741666666666666,6.688986784140969,6.795376712328767,5.93983244478294,3.305699481865285,3.4573863636363638,3.4325,2.913656387665198,3.0077054794520546,3.2475247524752477,
4.461139896373057,5.64375,3.43,3.875770925110132,3.7260273972602738,5.497334348819497,6.051813471502591,8.119318181818182,6.6025,6.377973568281939,7.152397260273973,6.006854531607007,3.2170408750719632,3.1556818181818183,3.225,3.2484581497797356,3.085616438356164,3.1370906321401373,
3.896948762233736,5.91875,3.618333333333333,4.051982378854626,3.6070205479452055,4.501904036557502,6.028209556706966,9.624431818181819,7.284166666666667,7.548017621145375,7.180650684931507,6.38994668697639,2.8267127230857803,3.3,3.44,3.392070484581498,3.077054794520548,2.944402132520944,
4.373056994818653,6.221022727272727,3.6858333333333335,3.699559471365639,3.6815068493150687,5.164508758568164,5.972366148531951,8.932954545454546,7.081666666666667,6.293392070484582,6.919520547945205,6.019040365575019,3.09902130109384,3.1289772727272727,3.069166666666667,3.079295154185022,3.065068493150685,2.932977913175933,
4.071963154864709,6.247159090909091,3.5241666666666664,3.682819383259912,3.9135273972602738,4.888804265041888,6.037996545768567,9.111931818181818,6.324166666666667,7.056387665198238,6.623287671232877,6.127189642041127,2.955670696603339,3.5090909090909093,3.6041666666666665,2.807929515418502,2.8835616438356166,3.325209444021325,
4.411053540587219,6.663068181818182,3.5441666666666665,4.212334801762115,3.458904109589041,4.741051028179741,6.27230857800806,8.961363636363636,6.611666666666666,7.280176211453744,7.50513698630137,6.366336633663367,3.1174438687392056,3.452272727272727,3.345833333333333,3.3894273127753305,3.13527397260274,3.16984006092917,
