B_1,B_2,B_3,T_1,T_2,T_3,G_1,G_2,G_3,
3.5708483754512637,3.5527306967984935,3.5255960729312763,6.484205776173285,6.53319209039548,6.3457223001402525,3.0370036101083033,3.058145009416196,3.050490883590463,
3.5541516245487363,3.874529190207156,3.8043478260869565,6.4422382671480145,6.403483992467043,6.4326788218793824,3.161101083032491,3.104990583804143,3.0101683029453015,
3.7021660649819497,3.620527306967985,3.9011220196353436,7.8425090252707585,6.097928436911488,6.494740532959327,3.13086642599278,3.199858757062147,3.0396213183730714,
3.75586642599278,3.556732580037665,3.7363253856942498,7.4828519855595665,6.6452448210922785,6.415147265077139,3.177797833935018,3.038135593220339,3.065918653576438,
3.6412454873646207,3.736581920903955,3.929873772791024,6.995938628158845,6.226224105461394,7.109747545582048,3.1209386281588447,2.897834274952919,3.1276297335203367,
3.785649819494585,3.6268832391713746,3.800490883590463,6.600180505415162,6.532015065913371,6.372370266479663,3.2287906137184117,2.9879943502824857,3.02945301542777,
3.887184115523466,3.7540018832391713,3.590813464235624,6.486462093862816,6.302730696798493,6.389551192145863,2.966606498194946,3.135593220338983,3.447755960729313,
3.8533393501805056,3.64289077212806,3.591514726507714,6.503610108303249,6.5863935969868175,6.670406732117812,3.1922382671480145,3.0903954802259888,2.8366058906030855,
3.6656137184115525,3.5461393596986817,3.7706872370266478,6.824007220216607,6.769538606403013,6.695652173913044,3.339350180505415,3.034133709981168,3.0694249649368865,
3.559115523465704,3.840866290018832,3.762272089761571,7.069945848375451,6.134651600753296,6.083450210378682,3.194043321299639,3.152542372881356,3.2875175315568024,
3.7355595667870034,3.638888888888889,4.189691444600281,6.957129963898917,6.449858757062147,6.326788218793829,3.13086642599278,3.143361581920904,3.2920757363253856,
3.6791516245487363,3.7751883239171375,4.36921458625526,6.506317689530686,6.258709981167608,6.651472650771389,3.158393501805054,2.916431261770245,3.1216690042075736,
3.6006317689530687,3.6829096045197742,4.010518934081347,6.497743682310469,6.452919020715631,6.385694249649369,3.2012635379061374,3.2215160075329567,3.120967741935484,
3.441335740072202,3.7780131826742,4.088008415147265,6.372743682310469,6.500235404896422,6.820476858345021,3.161552346570397,3.167843691148776,3.002805049088359,
4.037454873646209,3.763888888888889,4.206521739130435,6.9891696750902526,6.505885122410546,6.891654978962132,3.435018050541516,3.0369585687382297,3.090462833099579,
3.671931407942238,3.5171845574387945,4.455119214586255,7.1453068592057765,6.625706214689266,6.7833099579242635,3.1092057761732854,2.952919020715631,3.0729312762973353,
3.8316787003610107,3.855461393596987,4.191444600280505,6.772111913357401,6.309322033898305,7.2791023842917255,2.9950361010830324,3.282015065913371,3.260869565217391,
3.4977436823104693,3.7297551789077215,4.128681626928471,7.23826714801444,6.217749529190207,6.843267882187939,3.4679602888086642,3.2886064030131825,2.9691444600280503,
3.699458483754513,4.19256120527307,4.234572230014026,7.269404332129964,6.361346516007533,6.951612903225806,3.157942238267148,3.181261770244821,3.240532959326788,
4.128158844765343,3.889830508474576,3.9502103786816267,6.438176895306859,6.49105461393597,7.080995792426368,3.101534296028881,3.126647834274953,3.099929873772791,
3.80956678700361,3.786252354048964,4.02875175315568,7.028880866425993,6.180320150659134,6.907082748948107,3.3167870036101084,3.044491525423729,2.8071528751753156,
3.9156137184115525,4.027071563088512,3.9635343618513326,6.643050541516246,6.486581920903955,6.803997194950911,3.039259927797834,3.055084745762712,3.2201963534361853,
3.6331227436823106,4.062617702448211,3.9221598877980366,6.501805054151625,6.338983050847458,6.998597475455821,3.0843862815884475,3.0953389830508473,3.1833800841514726,
3.9327617328519855,4.200564971751413,3.8955119214586253,6.858303249097473,6.326741996233522,6.316619915848527,2.7617328519855597,3.0574387947269304,3.214936886395512,
3.729693140794224,4.047080979284369,4.150771388499299,6.415162454873646,6.070856873822976,6.795932678821879,3.32942238267148,3.1391242937853105,3.2366760168302946,
3.611913357400722,4.167843691148776,4.162692847124824,6.656588447653429,6.541431261770245,6.626577840112202,3.401173285198556,3.295433145009416,3.1402524544179524,
3.848826714801444,4.125706214689266,4.105890603085554,6.805054151624549,6.362523540489642,6.610098176718092,3.3601083032490973,3.1134651600753296,3.0715287517531555,
3.803249097472924,4.036016949152542,4.100631136044881,6.78971119133574,6.463276836158192,7.0596072931276295,3.061823104693141,2.9517419962335216,3.315918653576438,
3.5879963898916967,4.224105461393597,4.143408134642356,7.32129963898917,6.37758945386064,7.3457223001402525,3.0970216606498195,3.1579566854990584,3.214936886395512,
3.516696750902527,4.27542372881356,4.645862552594671,7.14485559566787,6.345338983050848,7.196353436185134,2.9481046931407944,3.1412429378531073,3.1455119214586253,
3.4151624548736463,4.150894538606403,4.360448807854137,6.434115523465704,6.323681732580038,6.606942496493689,3.0785198555956677,3.2104519774011298,3.1104488078541372,
3.969765342960289,4.302495291902072,4.422861150070126,6.344314079422382,6.501177024482109,6.997194950911641,2.9129061371841156,3.0946327683615817,2.958976157082749,
3.434115523465704,4.105225988700565,4.141654978962132,6.960740072202166,6.279425612052731,7.387798036465638,2.9693140794223827,3.0666195856873824,3.235273492286115,
3.407942238267148,4.177730696798493,4.13078541374474,6.590252707581228,6.667843691148776,6.883239831697055,3.1137184115523464,3.2405838041431263,3.0336605890603088,
3.7093862815884475,4.201741996233522,4.270687237026648,6.780685920577618,6.451035781544256,6.906030855539972,3.171028880866426,3.088747645951036,3.233169705469846,
3.460740072202166,4.356403013182674,4.407082748948107,6.60740072202166,6.440207156308851,7.903225806451613,3.1006317689530687,3.2130414312617703,3.2415848527349227,
3.7915162454873648,4.615348399246704,4.440042075736326,6.580776173285199,6.407721280602637,7.9063814866760165,3.2035198555956677,3.2219868173258,3.0329593267882187,
3.7337545126353793,4.200564971751413,4.250350631136045,7.402075812274369,6.690207156308851,7.532959326788219,3.3407039711191335,2.9595103578154425,3.115007012622721,
3.743231046931408,4.520480225988701,4.46914446002805,6.956227436823105,6.194915254237288,7.4326788218793824,3.1714801444043323,3.2283427495291903,3.2626227208976157,
3.5740072202166067,4.24482109227872,4.3835904628331,6.485108303249097,6.434322033898305,8.024193548387096,3.207129963898917,3.1334745762711864,3.282608695652174,
3.5243682310469313,4.428436911487759,4.298036465638148,6.453971119133574,6.325094161958568,7.8835904628331,3.112364620938628,3.1226459510357816,3.2903225806451615,
3.7648916967509027,4.120056497175141,4.29382889200561,6.897111913357401,6.525894538606403,7.679873772791024,3.3429602888086642,2.9757532956685497,3.1374474053295933,
4.018953068592058,4.282956685499058,4.6220196353436185,7.148014440433213,6.266478342749529,8.009817671809257,3.0726534296028882,2.975047080979284,3.1711079943899017,
4.02572202166065,4.15042372881356,4.744740532959327,6.624548736462094,6.72316384180791,8.406030855539973,3.2066787003610107,3.2721280602636535,3.093618513323983,
3.473826714801444,4.5190677966101696,4.598877980364656,6.6141696750902526,6.321563088512241,8.13148667601683,3.1565884476534296,2.9809322033898304,3.1788218793828893,
3.844765342960289,4.296139359698682,4.928821879382889,6.486462093862816,6.659369114877589,8.16304347826087,2.9959386281588447,3.0303672316384183,2.9926367461430576,
3.6985559566787005,4.170668549905838,4.670406732117812,7.277527075812275,6.745998116760829,8.729312762973352,3.042870036101083,3.1805555555555554,3.1430575035063115,
