B_1,B_2,B_3,B_4,B_5,B_6,B_7,T_1,T_2,T_3,T_4,T_5,T_6,T_7,G_1,G_2,G_3,G_4,G_5,G_6,G_7,
4.416256157635468,3.36525974025974,3.875461254612546,7.104138851802404,4.585365853658536,3.217065868263473,3.8076923076923075,7.2426108374384235,7.685064935064935,6.489391143911439,6.293724966622163,7.8931475029036005,7.540419161676646,6.296153846153846,3.3645320197044337,3.487012987012987,3.1637453874538743,2.7543391188251003,3.2903600464576073,3.0733532934131738,3.1807692307692306,
4.899014778325123,3.9626623376623376,3.8357933579335795,6.678237650200267,4.932636469221835,3.4880239520958085,3.042307692307692,7.013546798029557,7.0519480519480515,6.907287822878229,7.429906542056075,7.411149825783972,6.227544910179641,6.1875,3.3879310344827585,3.607142857142857,3.419741697416974,2.8918558077436582,3.1080139372822297,3.4715568862275448,2.9625,
5.070197044334975,4.748376623376624,3.782287822878229,7.042723631508678,5.1068524970963995,3.187125748502994,3.3365384615384617,7.392857142857143,7.0064935064935066,7.1849630996309966,8.377837116154874,7.48548199767712,6.830838323353293,6.413461538461538,2.9839901477832513,3.3555194805194803,3.0996309963099633,3.001335113484646,3.052264808362369,2.998502994011976,3.0134615384615384,
5.399014778325123,4.657467532467533,3.7200184501845017,7.252336448598131,4.9279907084785135,3.0269461077844313,3.3673076923076923,6.849753694581281,7.326298701298701,6.817804428044281,8.114819759679573,7.339140534262485,6.812874251497006,6.760576923076923,3.252463054187192,3.2857142857142856,3.147140221402214,3.1348464619492655,3.18931475029036,3.1302395209580838,3.143269230769231,
4.740147783251231,5.008116883116883,3.7859778597785976,6.869158878504673,5.306620209059234,3.182634730538922,3.3028846153846154,7.227832512315271,7.819805194805195,6.8630073800738005,8.092122830440587,7.695702671312428,6.941616766467066,6.325961538461539,3.5258620689655173,3.1948051948051948,3.419741697416974,3.1415220293724966,3.1393728222996518,3.1182634730538923,2.6980769230769233,
5.4926108374384235,5.470779220779221,3.8154981549815496,6.696929238985314,4.700348432055749,3.714071856287425,3.5528846153846154,7.363300492610837,7.185064935064935,6.648523985239852,9.086782376502002,7.642276422764228,7.440119760479042,6.073076923076923,3.1330049261083746,3.625,3.143450184501845,3.479305740987984,3.0952380952380953,3.0269461077844313,3.1375,
4.947044334975369,5.4188311688311686,3.898062730627306,6.748998664886515,5.245063879210221,3.6302395209580838,3.1548076923076924,6.727832512315271,7.991883116883117,6.995848708487085,8.476635514018692,7.519163763066202,6.663173652694611,6.672115384615385,3.439655172413793,3.550324675324675,3.226937269372694,3.1762349799732976,3.2288037166085948,3.345808383233533,3.6596153846153845,
4.929802955665025,4.759740259740259,4.026752767527675,6.164218958611482,5.083623693379791,3.931137724550898,3.498076923076923,6.79064039408867,7.084415584415584,7.389760147601476,7.890520694259012,7.86411149825784,6.447604790419161,6.7125,3.2758620689655173,3.3814935064935066,3.1190036900369003,3.128170894526035,3.0441347270615564,3.2709580838323356,3.064423076923077,
4.5763546798029555,5.3977272727272725,4.145295202952029,5.861148197596796,4.825783972125436,3.8473053892215567,3.0490384615384616,7.018472906403941,6.797077922077922,6.586254612546125,7.84913217623498,8.041811846689896,6.681137724550898,6.711538461538462,3.5492610837438425,3.311688311688312,3.2781365313653135,2.869158878504673,2.859465737514518,3.158682634730539,2.7009615384615384,
5.407635467980295,4.790584415584416,4.0987084870848705,5.348464619492657,5.2020905923344944,3.356287425149701,3.3365384615384617,7.349753694581281,7.314935064935065,6.587177121771218,7.947930574098798,8.130081300813009,6.6482035928143715,6.378846153846154,3.5283251231527095,3.332792207792208,3.267988929889299,3.2803738317757007,3.137049941927991,2.998502994011976,3.401923076923077,
5.395320197044335,4.142857142857143,4.051660516605166,5.421895861148197,5.862950058072009,3.8308383233532934,3.464423076923077,7.172413793103448,7.875,6.93450184501845,7.622162883845127,8.42973286875726,7.252994011976048,5.8875,3.4298029556650245,3.413961038961039,3.2693726937269374,3.0160213618157545,3.2253193960511033,2.998502994011976,2.835576923076923,
5.401477832512315,4.297077922077922,4.377306273062731,5.619492656875835,5.5876887340301975,3.2649700598802394,3.7625,6.778325123152709,7.0064935064935066,6.900369003690037,7.7276368491321765,9.2938443670151,7.1706586826347305,6.0442307692307695,3.854679802955665,3.2857142857142856,3.249538745387454,3.3057409879839788,2.9965156794425085,3.095808383233533,3.2153846153846155,
5.045566502463054,3.487012987012987,3.9940036900369003,5.080106809078772,5.898954703832753,3.2290419161676644,3.6173076923076923,7.080049261083744,6.925324675324675,6.4607933579335795,6.582109479305741,8.901277584204413,6.202095808383233,5.994230769230769,3.8263546798029555,2.9886363636363638,3.3948339483394836,3.2162883845126835,3.112659698025552,3.095808383233533,3.1557692307692307,
5.289408866995074,3.396103896103896,4.154059040590406,4.923898531375167,6.1173054587688735,3.7230538922155687,3.5134615384615384,6.740147783251231,7.441558441558442,6.825184501845018,7.173564753004006,10.397212543554007,6.595808383233533,6.755769230769231,3.5800492610837438,3.2224025974025974,3.2430811808118083,3.48064085447263,3.3588850174216027,3.0059880239520957,3.5451923076923078,
4.604679802955665,3.4642857142857144,4.068265682656826,4.602136181575434,6.565621370499419,3.5973053892215567,3.666346153846154,6.469211822660099,7.443181818181818,6.617158671586716,6.469959946595461,9.713124274099885,6.477544910179641,6.560576923076923,3.3078817733990147,3.3295454545454546,3.140682656826568,3.265687583444593,3.0580720092915215,3.342814371257485,2.9682692307692307,
4.321428571428571,3.1087662337662336,3.6831180811808117,4.607476635514018,7.3983739837398375,3.2604790419161676,3.6163461538461537,7.002463054187192,7.001623376623376,7.007380073800738,6.714285714285714,10.506387921022068,6.163173652694611,6.815384615384615,3.773399014778325,3.331168831168831,2.9506457564575648,3.061415220293725,3.0963995354239255,2.9850299401197606,3.358653846153846,
4.411330049261084,3.853896103896104,3.91190036900369,4.526034712950601,7.765389082462253,3.69311377245509,3.7778846153846155,6.105911330049261,7.0064935064935066,6.732933579335794,5.538050734312416,11.362369337979095,5.830838323353293,6.3875,3.231527093596059,3.1801948051948052,3.025830258302583,3.2777036048064088,3.268292682926829,3.218562874251497,3.173076923076923,
4.801724137931035,3.646103896103896,4.075184501845018,3.7356475300400533,8.48548199767712,3.312874251497006,3.8173076923076925,6.731527093596059,6.0064935064935066,7.071033210332104,6.0440587449933245,10.468060394889664,7.008982035928144,6.100961538461538,3.6342364532019706,3.2305194805194803,3.32380073800738,3.0093457943925235,3.1219512195121952,3.269461077844311,2.9067307692307693,
4.2155172413793105,3.7240259740259742,3.9358856088560885,4.181575433911883,7.59349593495935,3.413173652694611,3.9951923076923075,7.119458128078818,7.555194805194805,6.785055350553505,6.0347129506008015,9.75725900116144,6.452095808383233,6.648076923076923,3.7130541871921183,3.314935064935065,3.1812730627306274,2.652870493991989,3.0952380952380953,3.4221556886227544,3.128846153846154,
4.519704433497537,3.1298701298701297,3.7629151291512914,3.965287049399199,7.2926829268292686,3.501497005988024,3.856730769230769,6.314039408866995,6.6314935064935066,6.540590405904059,5.399198931909212,9.574912891986063,7.411676646706587,6.310576923076923,3.5726600985221677,3.1233766233766236,3.2726014760147604,2.6395193591455275,3.4483159117305457,3.2425149700598803,3.246153846153846,
4.017241379310345,3.6948051948051948,3.8699261992619927,4.4766355140186915,7.098722415795587,3.4251497005988023,4.582692307692308,7.052955665024631,7.7061688311688314,7.319188191881919,6.238985313751669,8.960511033681765,6.059880239520958,6.553846153846154,3.6194581280788176,3.4837662337662336,3.1300738007380073,3.4405874499332443,3.2822299651567945,3.0419161676646707,3.1317307692307694,
4.422413793103448,3.563311688311688,3.94880073800738,4.210947930574099,13.479674796747968,3.627245508982036,4.778846153846154,6.804187192118227,6.840909090909091,7.319649446494465,6.06675567423231,12.463414634146341,6.940119760479042,6.6528846153846155,3.7204433497536944,3.2126623376623376,3.2001845018450186,3.164218958611482,3.0534262485481998,3.053892215568862,3.2153846153846155,
4.738916256157635,3.767857142857143,4.036439114391144,4.750333778371162,15.171893147502903,3.432634730538922,5.054807692307692,7.248768472906404,7.253246753246753,6.989391143911439,5.842456608811749,11.982578397212544,6.076347305389222,7.505769230769231,3.4322660098522166,3.1785714285714284,3.0890221402214024,3.328437917222964,2.8095238095238093,2.995508982035928,3.233653846153846,
4.663793103448276,4.212662337662338,4.272140221402214,4.224299065420561,14.118466898954704,3.3473053892215567,5.450961538461539,7.227832512315271,6.4480519480519485,7.182195571955719,5.516688918558078,10.708478513356562,5.907185628742515,8.05673076923077,3.354679802955665,2.7873376623376624,3.217250922509225,2.5700934579439254,3.205574912891986,3.037425149700599,3.0125,
4.773399014778325,3.331168831168831,4.02859778597786,4.632843791722296,11.879210220673635,3.535928143712575,5.605769230769231,8.676108374384237,6.662337662337662,6.928966789667896,5.626168224299065,10.636469221835075,6.875748502994012,8.170192307692307,3.2241379310344827,2.9951298701298703,2.9760147601476015,3.0240320427236314,3.4355400696864113,3.2934131736526946,3.1336538461538463,
4.577586206896552,3.4431818181818183,4.246309963099631,4.317757009345795,11.456445993031359,3.6032934131736525,6.4875,6.610837438423645,7.337662337662338,7.061346863468635,5.9092122830440585,10.198606271777004,5.81437125748503,7.710576923076923,3.3694581280788176,3.25974025974026,2.9870848708487086,3.205607476635514,3.022067363530778,3.2604790419161676,3.1951923076923077,
4.620689655172414,3.409090909090909,3.9538745387453873,4.562082777036048,6.887340301974448,3.913173652694611,6.077884615384615,7.360837438423645,6.970779220779221,6.647140221402214,6.376502002670227,7.409988385598142,6.309880239520958,7.701923076923077,3.3866995073891624,3.2353896103896105,3.1637453874538743,3.17890520694259,3.078977932636469,3.104790419161677,3.021153846153846,
5.066502463054187,3.5470779220779223,4.232011070110701,4.228304405874499,3.6202090592334493,3.3502994011976046,6.051923076923077,7.405172413793103,7.24512987012987,6.396217712177122,6.088117489986649,6.379790940766551,6.392215568862276,8.011538461538462,3.6502463054187193,3.2126623376623376,3.0276752767527677,3.1255006675567425,3.150987224157956,3.089820359281437,3.2865384615384614,
4.592364532019705,3.5146103896103895,3.9990774907749076,4.598130841121495,3.8292682926829267,3.7050898203592815,6.150961538461538,6.983990147783251,7.314935064935065,7.21309963099631,6.735647530040054,6.6085946573751455,6.013473053892215,8.4875,3.6502463054187193,3.0844155844155843,3.1826568265682655,3.166889185580774,3.3368176538908245,2.913173652694611,3.6548076923076924,
4.830049261083744,3.938311688311688,4.302121771217712,4.769025367156209,3.678281068524971,3.80688622754491,5.7615384615384615,7.807881773399015,6.387987012987013,6.630996309963099,8.30841121495327,6.008130081300813,7.3293413173652695,7.167307692307692,3.502463054187192,3.4415584415584415,3.1273062730627306,3.0040053404539386,3.0534262485481998,2.7425149700598803,3.1846153846153844,
5.043103448275862,4.095779220779221,4.071033210332104,4.554072096128171,3.7851335656213707,4.38622754491018,6.183653846153846,7.045566502463054,6.842532467532467,6.666051660516605,8.847797062750335,6.101045296167247,7.390718562874252,7.366346153846154,3.706896551724138,3.392857142857143,3.070571955719557,2.5594125500667557,2.9047619047619047,2.8667664670658684,3.1846153846153844,
4.352216748768473,4.386363636363637,4.080719557195572,5.818424566088117,3.6898954703832754,3.4880239520958085,5.811538461538461,7.963054187192118,7.425324675324675,7.251383763837638,10.313751668891856,6.24274099883856,6.977544910179641,7.6990384615384615,3.3189655172413794,3.1493506493506493,3.379151291512915,2.885180240320427,3.040650406504065,3.3922155688622753,3.4663461538461537,
4.937192118226601,4.487012987012987,4.177121771217712,4.974632843791722,3.632984901277584,3.519461077844311,6.061538461538461,7.144088669950739,7.534090909090909,7.363929889298893,10.813084112149532,6.0859465737514515,6.335329341317365,7.684615384615385,3.7401477832512313,3.1233766233766236,3.0982472324723247,3.121495327102804,3.130081300813008,2.907185628742515,3.2721153846153848,
4.825123152709359,4.740259740259741,4.226014760147602,4.991989319092123,3.7642276422764227,3.931137724550898,5.600961538461538,6.940886699507389,8.89935064935065,6.949723247232472,11.49799732977303,5.579558652729385,6.755988023952096,8.6125,3.481527093596059,3.3798701298701297,3.2804428044280445,2.8918558077436582,2.843205574912892,3.092814371257485,2.9682692307692307,
5.102216748768473,5.892857142857143,3.922970479704797,5.686248331108144,3.5284552845528454,3.907185628742515,5.6596153846153845,6.374384236453202,9.032467532467532,7.017066420664206,11.961281708945261,6.4367015098722415,7.176646706586826,8.434615384615384,3.9544334975369457,3.301948051948052,3.205258302583026,3.130841121495327,2.9849012775842043,2.940119760479042,2.998076923076923,
5.91256157635468,5.936688311688312,4.157749077490775,5.196261682242991,4.126596980255517,3.4251497005988023,5.660576923076923,6.722906403940887,9.529220779220779,6.997693726937269,11.456608811748998,6.272938443670151,6.577844311377246,8.528846153846153,4.04064039408867,3.2175324675324677,3.287361623616236,3.1121495327102804,3.3507549361207896,3.339820359281437,3.2615384615384615,
5.247536945812808,7.762987012987013,3.9884686346863467,5.791722296395194,3.4796747967479673,3.5209580838323356,5.2615384615384615,6.759852216748769,11.068181818181818,7.343634686346864,12.356475300400534,6.267131242740999,7.0,8.525,3.273399014778325,3.4512987012987013,2.8833025830258303,3.2109479305740987,2.967479674796748,3.311377245508982,3.2211538461538463,
5.573891625615763,9.25487012987013,4.0631918819188195,5.516688918558078,3.59465737514518,3.3997005988023954,5.6125,6.424876847290641,13.5762987012987,7.214944649446495,12.110814419225635,5.860627177700349,6.74251497005988,9.06826923076923,3.8817733990147785,3.2451298701298703,3.2809040590405902,3.021361815754339,2.989547038327526,2.9850299401197606,3.0307692307692307,
4.83128078817734,9.452922077922079,3.9331180811808117,5.572763684913218,3.6747967479674797,4.050898203592815,5.184615384615385,7.204433497536946,15.6737012987013,6.650830258302583,12.054739652870493,6.519163763066202,6.526946107784431,9.0625,3.4544334975369457,3.3863636363636362,3.199261992619926,2.7249666221628837,2.4761904761904763,2.94311377245509,2.9711538461538463,
5.023399014778325,9.33603896103896,3.7744464944649447,5.365821094793057,4.031358885017422,4.142215568862276,5.2846153846153845,6.7007389162561575,13.9512987012987,6.812730627306273,12.76101468624833,6.4053426248548195,6.411676646706587,8.352884615384616,3.729064039408867,3.456168831168831,3.1268450184501844,2.8317757009345796,3.048780487804878,3.0149700598802394,3.1634615384615383,
5.289408866995074,9.042207792207792,3.5793357933579335,5.696929238985314,3.922183507549361,4.145209580838324,5.138461538461539,6.415024630541872,16.193181818181817,6.624077490774908,13.0,6.530778164924507,6.769461077844311,8.552884615384615,3.7758620689655173,3.9431818181818183,2.9875461254612548,3.0801068090787718,3.326364692218351,2.8817365269461077,3.1182692307692306,
5.105911330049261,9.215909090909092,4.285055350553505,5.857142857142857,3.5609756097560976,4.211077844311378,5.173076923076923,6.402709359605911,15.202922077922079,6.682656826568266,12.930574098798397,6.026713124274099,6.733532934131737,7.756730769230769,4.201970443349754,3.612012987012987,3.135608856088561,3.1748998664886514,3.3310104529616726,2.877245508982036,3.104807692307692,
