B_1,B_2,T_1,T_2,G_1,G_2
3.646093237,6.385462555,9.297439265,6.106828194,3.430728825,3.114537445
3.485883125,6.522026432,7.993434012,5.938325991,3.34996717,3.073788546
3.726198293,6.377753304,7.841103086,6.518722467,3.455022981,3.125550661
3.703873933,6.581497797,7.27248851,6.606828194,3.410374261,3.022026432
3.554826001,6.68061674,7.47209455,6.709251101,3.13328956,3.058370044
3.739330269,6.703744493,8.051871307,6.20154185,3.341431385,3.167400881
3.852265266,6.751101322,7.378857518,7.238986784,3.390019698,3.248898678
4.032829941,6.446035242,8.374261326,7.115638767,3.571240972,2.944933921
3.835850295,6.084801762,7.901510177,6.29185022,3.290873276,3.179515419
4.014445174,6.810572687,8.615233093,6.874449339,3.862114248,3.190528634
4.000656599,6.339207048,7.962573867,7.63215859,3.348653972,3.129955947
3.788575181,6.518722467,7.445830598,6.895374449,3.543007223,3.170704846
3.691398555,6.660792952,7.859487853,6.241189427,3.673670387,3.052863436
3.736047275,6.546255507,7.804990151,6.363436123,3.393959291,3.1530837
3.75574524,5.842511013,8.985554826,6.884361233,3.707156927,2.971365639
3.741956664,6.406387665,7.936309915,6.258810573,3.296782666,3.02753304
3.826001313,6.034140969,7.701247538,6.664096916,3.154300722,2.893171806
3.493105712,6.309471366,8.186474064,6.828193833,3.838476691,3.026431718
3.586342745,6.725770925,8.441891005,6.718061674,3.472751149,3.071585903
3.404464872,6.822687225,8.217334209,6.314977974,3.374261326,3.104625551
3.586999343,6.389867841,8.270518713,6.61784141,3.315824032,2.917400881
3.481286934,6.635462555,8.451739987,6.232378855,3.66119501,3.25
3.682862771,6.685022026,8.108995404,6.322687225,3.315824032,3.038546256
4.313197636,6.522026432,7.91135916,6.114537445,3.382140512,2.969162996
3.558108995,6.591409692,7.804333552,6.678414097,3.192383454,3.194933921
3.645436638,6.679515419,8.234405778,6.751101322,3.495075509,2.968061674
3.662508207,6.094713656,8.543663821,6.651982379,3.393302692,3.690528634
3.393302692,6.252202643,8.073539068,6.859030837,3.298752462,3.112334802
