B_1,B_2,T_1,T_2,G_1,G_2,
4.917113494191242,4.912043795620438,7.578418230563003,6.451459854014598,3.7973637176050046,3.335036496350365,
5.098748882931188,4.610948905109489,7.7692135835567475,6.528832116788321,3.58065236818588,3.1992700729927006,
5.241510277033065,4.843430656934307,7.941912421805183,6.490875912408759,3.4497319034852545,3.0934306569343066,
5.168453976764969,4.84963503649635,7.6756032171581765,6.563868613138686,3.614164432529044,3.0686131386861315,
5.546470062555853,4.9,7.555630026809651,6.847810218978102,3.7524575513851652,3.1967153284671532,
5.483690795352993,5.0175182481751825,8.252234137622878,6.443795620437956,3.7263181411974977,3.3602189781021896,
5.484361036639857,5.042700729927008,8.448614834673815,7.677007299270073,3.886952636282395,3.3401459854014597,
5.193923145665773,4.995255474452555,7.849419124218052,6.278832116788321,3.594057193923146,3.490875912408759,
5.36952636282395,4.947445255474452,7.759606791778373,6.8934306569343065,3.636058981233244,3.350729927007299,
5.2450848972296695,5.033941605839416,8.42627345844504,6.638321167883212,3.862823949955317,3.3817518248175182,
5.552502234137623,4.566423357664234,8.336237712243074,6.402554744525547,3.7857462019660413,3.3485401459854014,
5.441912421805183,4.578467153284672,8.245084897229669,6.429197080291971,3.765638963360143,3.2463503649635035,
5.5037980339588914,4.6744525547445255,8.013404825737265,6.716788321167884,3.763404825737265,3.245255474452555,
5.566577301161751,4.532116788321168,8.012287756925828,6.718613138686131,3.681858802502234,3.243795620437956,
5.364834673815907,4.931386861313869,8.768766756032171,6.697445255474452,3.769213583556747,3.338321167883212,
5.817917783735478,5.0682481751824815,8.294012511170688,6.811313868613139,3.691912421805183,3.4854014598540144,
5.29088471849866,5.4799270072992705,8.234361036639857,7.6507299270072995,3.7421805183199286,3.2759124087591243,
5.5773011617515635,5.947810218978102,8.656613047363718,6.824087591240876,3.772117962466488,3.6375912408759126,
5.570822162645219,5.924087591240876,9.002457551385165,7.268248175182482,3.659294012511171,3.2773722627737225,
5.601653261840929,5.927737226277372,8.256255585344057,7.043795620437956,3.9345397676496874,3.566058394160584,
5.8623771224307415,5.871167883211679,8.016085790884718,7.212408759124088,3.812332439678284,3.3857664233576643,
5.813449508489723,6.2978102189781024,8.370420017873101,7.317153284671533,3.684763181411975,3.5507299270072994,
5.932975871313673,6.318613138686131,8.241733690795353,8.114963503649635,4.0692582663092045,3.4368613138686133,
5.963583556747095,6.685401459854015,8.317247542448614,7.127372262773723,4.042672028596962,3.3532846715328466,
6.330875781948168,6.471532846715329,9.125111706881144,7.556204379562044,4.188114387846292,3.4784671532846714,
6.168453976764969,6.347445255474453,8.298257372654156,7.383211678832117,4.3865058087578195,3.2653284671532847,
6.076854334226988,6.846350364963504,8.81188561215371,7.62007299270073,4.414879356568365,3.475912408759124,
6.331546023235031,6.535766423357664,8.21313672922252,7.507664233576643,4.231009830205541,3.326642335766423,
6.540214477211796,6.097080291970803,8.389633601429848,7.333576642335767,4.409070598748883,3.7156934306569345,
6.5109472743521,6.456934306569343,8.925603217158177,6.997810218978103,4.419571045576408,3.2653284671532847,
6.408176943699732,6.09963503649635,8.590035746201966,7.165328467153285,4.53485254691689,3.557299270072993,
6.591376228775693,6.044890510948905,9.133154602323502,7.25985401459854,4.6266756032171585,3.7145985401459853,
6.7980339588918675,6.903284671532846,9.605227882037534,7.031386861313869,4.865951742627346,3.277007299270073,
7.344057193923145,6.50985401459854,8.978328865058087,7.552189781021898,4.693476318141197,3.52007299270073,
7.151027703306523,6.828467153284672,8.976541554959786,7.176642335766424,5.153038427167114,3.393065693430657,
7.307640750670242,6.581386861313868,9.209785522788204,8.098175182481752,4.9617962466487935,3.3967153284671534,
7.137399463806971,6.434671532846715,9.934092940125112,8.016423357664234,4.860142984807864,3.447080291970803,
7.365058087578195,6.3288321167883215,8.96626452189455,7.7226277372262775,4.8123324396782845,3.162043795620438,
7.831769436997319,6.3116788321167885,9.712243074173369,7.533576642335767,4.862823949955318,3.3032846715328468,
7.700402144772118,6.275547445255475,9.694816800714925,7.512043795620438,5.248882931188561,3.4324817518248176,
7.72408400357462,6.505839416058394,9.500670241286864,7.747445255474452,5.182752457551385,3.376277372262774,
8.09361036639857,6.2054744525547445,10.171358355674709,8.204379562043796,5.145889186773905,3.3186131386861315,
