B_2,B_3,B_4,B_5,B_6,T_2,T_3,T_4,T_5,T_6,G_2,G_3,G_4,G_5,G_6
3.589503954,3.525226391,4.016320475,3.387096774,4.107576634,6.882818116,5.675291074,6.341988131,7.131797235,7.239444766,3.193386053,3.001293661,3.112759644,3.023963134,3.107576634
3.836808052,3.332470893,4.097922849,3.877419355,3.956043956,7.278936017,5.935316947,6.054896142,7.011981567,7.546558704,3.056074766,3.119016818,3.224777448,2.865437788,3.285714286
3.552120776,3.450194049,4.149109792,3.858064516,3.58357432,7.063263839,6.161707633,6.341246291,7.447004608,6.885482938,2.970524802,3.050452781,2.994807122,2.756682028,2.972238288
3.500359454,3.628719276,3.792284866,3.435023041,3.50260266,7.20201294,5.868693402,5.917655786,7.836866359,6.504337767,3.137311287,2.673997413,3.391691395,3.337327189,3.312897629
3.597411934,3.288486417,4.068991098,3.594470046,3.717177559,7.352264558,6.094437257,6.275964392,7.119815668,6.806246385,3.519051042,2.855109961,3.06305638,3.430414747,3.294389821
3.668583753,3.381630013,4.709198813,3.828571429,3.542510121,7.395398994,5.778783959,6.278931751,7.400921659,6.896471949,3.260963336,2.98835705,3.018545994,3.232258065,3.193175246
3.402588066,3.76843467,3.830118694,3.548387097,3.80335454,6.95542775,5.743208279,6.227744807,7.386175115,7.21978022,3.17325665,3.151358344,3.224035608,3.065437788,3.240023135
3.898634076,3.291720569,4.03189911,3.347465438,4.003470214,7.065420561,6.239327296,5.943620178,7.006451613,6.474840949,3.453630482,2.995472186,3.00148368,3.658986175,3.106419896
3.662113587,3.287839586,3.612017804,3.624884793,4.427414691,7.187634795,5.673350582,5.90578635,7.149308756,7.006940428,3.163191948,3.195989651,2.997032641,3.162211982,3.281087334
3.529834651,3.888098318,3.867952522,3.511520737,4.052631579,6.700215672,6.300776197,5.90652819,6.665437788,6.816657027,2.954708843,3.264553687,2.948813056,3.430414747,2.957779063
3.45147376,3.537516171,3.899851632,3.72718894,4.590514748,7.312724659,5.672056921,6.331602374,7.738248848,7.108733372,3.250898634,2.983182406,3.261869436,3.277419355,3.117408907
3.79007908,3.525226391,3.898367953,3.806451613,4.233082707,7.175413372,6.063389392,6.089020772,7.090322581,7.72816657,3.341480949,2.870633894,2.956973294,3.069124424,3.376518219
3.491013659,3.274902975,4.045252226,3.748387097,4.316946212,7.015097052,6.613195343,5.910237389,7.519815668,6.78021978,3.143062545,3.043337646,2.974035608,3.282949309,3.195488722
3.578001438,3.223156533,3.84495549,3.606451613,4.331405437,6.795111431,6.161060802,6.700296736,6.652534562,7.722961249,3.372393961,2.985769728,3.103115727,3.246082949,3.126084442
3.619698059,3.799482536,3.641691395,3.770506912,4.592249855,6.9108555,5.587968952,6.485163205,6.725345622,6.950260266,3.293314162,3.08538163,3.184718101,3.105069124,3.295546559
3.785046729,3.580853816,3.900593472,3.598156682,4.048004627,6.700934579,5.729624838,6.632047478,7.738248848,6.932330827,3.204169662,2.911384217,2.794510386,3.016589862,3.246385194
3.764198418,3.600905563,3.976261128,3.25437788,4.164835165,6.987059669,6.186287193,6.106824926,8.083870968,6.873337189,2.803738318,3.242561449,2.736646884,3.176036866,3.210526316
3.521926671,3.547865459,3.871661721,4.055299539,4.137073453,7.499640546,5.266494179,5.9384273,6.737327189,7.110468479,3.188353702,3.249029754,3.428041543,3.186175115,3.217466744
