B_1,T_1,G_1,
3.8935452793834298,7.354527938342967,3.199421965317919,
4.4388246628131025,6.857418111753372,3.402697495183044,
4.015414258188825,7.255780346820809,3.342485549132948,
4.668593448940269,7.230250481695569,3.025529865125241,
4.014932562620424,6.953275529865126,3.2683044315992293,
4.111271676300578,6.761560693641618,3.1310211946050095,
4.121868978805395,7.2008670520231215,3.140655105973025,
4.289980732177264,7.074181117533719,3.7514450867052025,
4.282755298651252,6.909922928709056,3.3815028901734103,
4.44364161849711,6.571772639691715,3.331888246628131,
4.562138728323699,6.642581888246628,3.321772639691715,
4.816473988439307,6.6324662813102115,3.320809248554913,
4.4210019267822736,6.710982658959537,3.1315028901734103,
4.440751445086705,6.673410404624278,3.25,
4.710500963391137,6.808285163776493,3.23747591522158,
4.835741811175337,6.8766859344894025,3.340558766859345,
4.473506743737958,6.766859344894027,3.2577071290944124,
4.803949903660886,6.999036608863198,3.4908477842003856,
4.71242774566474,6.788535645472062,3.045761078998073,
5.282273603082851,6.978805394990366,3.3058766859344892,
4.891136801541426,6.889210019267823,3.2552986512524087,
4.868015414258188,7.252408477842004,3.5785163776493256,
4.4715799614643545,7.435452793834297,3.3429672447013488,
5.115125240847784,6.841040462427745,3.315992292870906,
5.03082851637765,8.203275529865126,3.3771676300578033,
5.1873795761079,7.820327552986512,3.5260115606936417,
4.626204238921002,7.459055876685935,3.3757225433526012,
5.166184971098266,7.405587668593449,3.203275529865125,
4.945086705202312,7.573699421965318,3.296724470134875,
5.199421965317919,7.316473988439307,3.5216763005780347,
4.694605009633912,7.671965317919075,3.606936416184971,
5.1252408477842,8.132466281310212,3.6257225433526012,
5.533236994219653,7.874277456647399,3.3222543352601157,
5.416666666666667,7.53131021194605,3.304431599229287,
5.354046242774566,8.393063583815028,3.6353564547206165,
5.371868978805395,8.754335260115607,3.397398843930636,
5.290462427745664,9.77456647398844,3.6714836223506744,
5.507225433526012,9.873314065510597,3.8309248554913293,
5.535163776493256,9.525529865125241,3.4715799614643545,
5.81888246628131,10.18208092485549,4.041425818882466,
5.582369942196531,9.564547206165702,3.6242774566473988,
5.74373795761079,10.065992292870906,3.653660886319846,
5.509152215799615,9.744701348747592,3.6714836223506744,
5.1830443159922925,9.5616570327553,3.535163776493256,
5.664739884393064,10.19990366088632,3.6411368015414256,
5.373795761078998,10.34971098265896,3.673892100192678,
5.705684007707129,10.448458574181117,3.755780346820809,
5.509152215799615,10.907032755298651,4.282273603082851,
5.964836223506744,10.564065510597302,4.068400770712909,
5.339113680154143,10.571772639691714,3.901734104046243,
5.475915221579961,9.977360308285164,4.396917148362235,
5.6117533718689785,10.548169556840078,4.503853564547206,
5.64980732177264,10.648362235067438,3.9571290944123314,
5.711946050096339,11.470616570327554,4.23121387283237,
5.815028901734104,10.995664739884393,4.201348747591522,
5.769749518304431,12.443159922928709,4.113198458574181,
6.046724470134874,12.403179190751445,4.854046242774566,
6.318400770712909,12.740847784200385,5.199421965317919,
5.4373795761079,12.901734104046243,4.270231213872832,
6.202793834296725,13.431599229287091,4.930635838150289,
5.500481695568401,13.969653179190752,4.4393063583815024,
5.9330443159922925,15.238439306358382,4.733140655105973,
6.035645472061657,13.8747591522158,4.276011560693641,
5.6830443159922925,14.560211946050096,4.5640655105973025,
6.055876685934489,14.340077071290944,4.750963391136802,
5.67485549132948,13.835741811175337,4.364161849710983,
5.99373795761079,13.73121387283237,4.401734104046243,
6.371868978805395,13.902215799614643,4.2601156069364166,
6.098747591522158,13.853564547206165,4.176300578034682,
5.35645472061657,13.42437379576108,4.8752408477842,
5.97495183044316,12.60019267822736,4.676300578034682,
5.490847784200385,12.98747591522158,4.257707129094412,
6.325626204238921,12.703275529865126,4.152215799614644,
6.1146435452793835,13.165703275529864,4.915703275529865,
6.311657032755298,11.857899807321772,5.270712909441233,
5.897880539499036,12.221579961464354,5.4330443159922925,
5.47543352601156,12.371868978805395,4.557321772639692,
5.262042389210019,12.382466281310212,4.8973988439306355,
5.809248554913295,12.090558766859345,4.368015414258188,
5.269749518304431,13.002890173410405,4.685452793834297,
5.666666666666667,12.880539499036608,4.667630057803469,
5.420038535645472,13.702793834296724,4.900770712909441,
5.607899807321773,12.509633911368015,4.726878612716763,
5.526493256262042,12.565510597302504,4.323699421965318,
5.567437379576108,12.498554913294798,4.322254335260116,
5.98747591522158,13.423410404624278,5.019267822736031,
5.716763005780347,13.129576107899807,5.2244701348747595,
5.630539499036609,13.657996146435453,4.776493256262042,
5.658477842003854,13.536127167630058,4.509633911368016,
6.133429672447013,13.216281310211945,5.5789980732177264,
5.878131021194605,12.778901734104046,4.833815028901734,
5.777456647398844,12.667630057803468,5.146917148362235,
5.6252408477842,13.026974951830443,4.582369942196531,
6.64354527938343,14.882466281310212,5.357418111753372,
6.056840077071291,13.729768786127167,4.703275529865126,
5.778901734104046,14.671001926782274,5.246628131021194,
6.106936416184971,14.723988439306359,5.210019267822736,
