B_1,B_2,B_3,B_4,B_5,T_1,T_2,T_3,T_4,T_5,G_1,G_2,G_3,G_4,G_5,
4.574659231722428,3.4366543665436655,3.1376936316695354,3.516872890888639,3.3146473779385173,7.687422552664188,6.064575645756458,5.67039586919105,6.09111361079865,6.333634719710669,3.259913258983891,2.912669126691267,3.183304647160069,3.264341957255343,3.194394213381555,
4.79089219330855,3.455719557195572,3.2925989672977627,3.4150731158605176,3.2034358047016274,7.365241635687732,6.567650676506765,5.773666092943201,6.078740157480315,6.703435804701628,3.3249690210656753,3.3241082410824108,2.9707401032702236,3.15748031496063,3.170886075949367,
4.575588599752169,3.758917589175892,3.2271944922547333,3.0691788526434194,3.390596745027125,7.415737298636927,6.3437884378843785,5.3347676419965575,6.583239595050618,6.2405063291139244,3.3423172242874846,3.050430504305043,3.086919104991394,2.967379077615298,3.095840867992767,
4.783767038413878,3.4710947109471095,3.4500860585197937,3.154105736782902,3.409584086799277,7.602850061957868,6.698646986469865,6.252151462994837,5.7294713160854895,6.063291139240507,3.4268897149938042,3.1863468634686347,2.8123924268502583,2.8818897637795278,3.073236889692586,
4.656133828996283,3.711562115621156,3.2986230636833045,3.325084364454443,3.298372513562387,7.793060718711276,5.797047970479705,5.773666092943201,5.595050618672666,6.670886075949367,3.340458488228005,3.004920049200492,2.79776247848537,2.965129358830146,3.1916817359855334,
4.960346964064436,3.9206642066420665,3.1944922547332184,3.456692913385827,3.336347197106691,7.039343246592317,6.145141451414514,5.717728055077453,5.930258717660292,6.301084990958409,3.1273234200743496,2.9846248462484626,2.7925989672977627,3.0719910011248595,3.5858951175406872,
5.575278810408922,3.7533825338253384,3.12736660929432,3.401012373453318,3.7956600361663653,7.145600991325899,6.0424354243542435,5.8993115318416525,6.146794150731159,7.1717902350813745,3.535006195786865,3.0510455104551046,3.1282271944922546,3.177165354330709,3.0678119349005426,
6.0545229244114,3.337638376383764,3.2771084337349397,3.24859392575928,3.709764918625678,7.615241635687732,6.31980319803198,5.884681583476764,6.002249718785152,6.625678119349005,3.4761462205700124,3.1531365313653135,2.7994836488812394,3.362767154105737,3.022603978300181,
6.304832713754647,3.42619926199262,3.1953528399311533,3.322834645669291,3.2965641952983726,8.053283767038414,6.117466174661747,5.708261617900172,6.028683914510686,6.783905967450271,3.20817843866171,3.151291512915129,2.832185886402754,2.9122609673790776,3.2703435804701626,
7.305762081784387,3.5227552275522753,3.2951807228915664,3.249718785151856,3.2341772151898733,8.214064436183396,6.2619926199261995,5.812392426850258,5.794713160854893,6.75497287522604,3.4061338289962824,3.2097170971709716,2.8399311531841653,3.1366704161979753,3.057866184448463,
5.917596034696406,3.316728167281673,3.549053356282272,3.4195725534308212,3.4783001808318263,8.319392812887237,6.011070110701107,5.244406196213425,6.917322834645669,6.35623869801085,3.328376703841388,3.3241082410824108,2.784853700516351,2.9915635545556807,3.165461121157324,
5.6775092936802976,3.03690036900369,3.4621342512908777,3.1169853768278966,3.2603978300180834,8.141573729863692,5.825953259532596,5.604130808950086,6.16029246344207,6.122965641952984,3.259293680297398,3.2644526445264455,3.072289156626506,3.184476940382452,3.367992766726944,
5.074659231722428,3.3296432964329643,3.1772805507745265,3.4302587176602923,3.667269439421338,7.2168525402726145,5.963714637146372,6.030981067125645,6.590551181102362,7.172694394213382,3.320631970260223,3.0461254612546127,2.7925989672977627,2.963442069741282,3.1663652802893307,
4.056071871127633,3.6180811808118083,3.5705679862306368,3.3273340832395952,3.642857142857143,7.549876084262701,6.070725707257073,5.962134251290878,6.137795275590551,6.67631103074141,3.3004956629491944,3.1654366543665438,2.9036144578313254,3.168166479190101,3.1301989150090415,
3.8224907063197024,3.566420664206642,3.261617900172117,3.347019122609674,3.5705244122965643,7.089838909541512,5.92189421894219,5.317555938037866,6.049493813273341,7.077757685352622,3.252168525402726,3.1063960639606396,2.868330464716007,3.2491563554555682,3.0018083182640143,
3.9526022304832713,3.453259532595326,3.302065404475043,3.7384701912260967,3.6717902350813745,7.131660470879802,6.0984009840098405,5.123063683304647,6.3076490438695165,7.557866184448463,3.345105328376704,3.029520295202952,2.8132530120481927,3.156917885264342,3.0560578661844486,
4.038413878562578,3.7306273062730626,3.142857142857143,3.206411698537683,3.662748643761302,7.614312267657993,6.313653136531365,5.341652323580035,5.780652418447694,6.748643761301989,3.270755885997522,3.1174661746617467,3.2839931153184163,2.997750281214848,3.1916817359855334,
4.4594175960346965,3.722017220172202,3.2237521514629948,3.3363329583802024,3.336347197106691,7.678748451053284,6.011070110701107,5.823580034423408,5.900449943757031,6.56871609403255,3.3506815365551423,3.035670356703567,2.8537005163511187,3.0061867266591675,2.774864376130199,
4.293990086741016,3.4600246002460024,3.4561101549053355,3.4555680539932507,3.6410488245931285,6.6074969021065675,5.7410824108241085,7.050774526678141,5.3610798650168725,7.2097649186256785,3.335192069392813,3.0018450184501844,2.9793459552495696,3.0534308211473564,3.1564195298372515,
4.0666047087980175,3.4354243542435423,3.3175559380378656,3.411136107986502,3.7848101265822787,6.7630111524163565,6.289667896678967,5.723752151462995,5.829021372328459,6.93128390596745,3.1211276332094178,3.0092250922509227,2.949225473321859,3.0877390326209224,3.1681735985533455,
4.096654275092937,3.341328413284133,3.442340791738382,3.282902137232846,3.301989150090416,6.856257744733581,6.319188191881919,5.978485370051635,5.952755905511811,7.207956600361664,3.4928748451053284,3.0658056580565805,2.895869191049914,3.0253093363329584,3.023508137432188,
4.004646840148699,3.5516605166051662,3.2435456110154903,3.2941507311586053,3.5207956600361663,7.207558859975217,5.882533825338253,5.824440619621343,5.903824521934758,5.967450271247739,3.26363073110285,3.27060270602706,2.8399311531841653,3.2542182227221597,3.107594936708861,
4.1796778190830235,3.3290282902829027,3.1523235800344236,3.2272215973003373,3.4945750452079567,7.45817843866171,6.091020910209102,5.809810671256455,6.143982002249719,6.8327305605786615,3.241016109045849,2.9827798277982778,2.7822719449225475,2.9578177727784025,3.163652802893309,
5.301115241635688,3.6389913899138993,3.3115318416523234,3.395950506186727,3.602169981916817,8.327757125154895,6.304428044280443,5.985370051635112,6.040494938132733,6.704339963833634,3.307620817843866,3.01230012300123,2.9294320137693632,3.083239595050619,2.9701627486437614,
5.659231722428748,3.5301353013530137,3.359724612736661,3.3650168728908887,3.767631103074141,8.150557620817844,6.4175891758917585,5.799483648881239,5.592238470191226,7.19258589511754,3.3674101610904583,2.985239852398524,2.8795180722891565,2.892575928008999,3.4701627486437614,
