B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,
7.413220645940235,4.861881785283474,5.08363448631905,6.728525121555916,5.880601792573623,3.435361216730038,4.152689873417722,5.566702819956616,15.50467853908844,6.984318455971049,17.614696265702978,9.260129659643436,15.327464788732394,5.7889733840304185,6.3765822784810124,7.565075921908893,4.669483851494114,3.0557901085645356,3.2195835484426087,3.3354943273905997,5.763124199743918,2.9657794676806084,2.9525316455696204,3.3698481561822127,
7.688801690310896,5.166164053075995,5.008948545861298,7.03160453808752,5.297695262483995,3.156844106463878,4.537974683544304,5.945227765726681,16.048596438273467,7.324487334137515,18.353639648941662,9.318881685575365,14.859795134443022,5.444866920152092,6.940664556962025,7.457158351409978,4.384243887715062,3.069662243667069,3.2397177766305285,3.61547811993517,4.587067861715749,3.04467680608365,3.314873417721519,3.5390455531453364,
7.31753697555086,5.128769601930037,5.299432111512648,6.767017828200973,5.361075544174136,2.8336501901140685,3.988132911392405,5.5271149674620395,15.102324177482645,6.792219541616405,17.628635346756152,9.926256077795786,14.161971830985916,5.562737642585551,6.77373417721519,7.976681127982647,4.511017204950196,2.819360675512666,3.2897952159697126,3.1535656401944894,5.365556978233035,2.8716730038022815,3.2167721518987342,3.21529284164859,
7.806519770600664,5.196320868516285,4.743589743589744,6.4890599675850895,5.285851472471191,3.2633079847908744,4.489715189873418,5.789587852494577,15.977663748868096,7.231302774427021,18.54637755980038,9.96191247974068,13.92157490396927,6.096958174904943,6.611550632911392,7.1306941431670285,4.275882885602173,2.93124246079614,3.249698847014283,3.158022690437601,5.0336107554417415,2.8916349809885933,3.0443037974683542,3.3617136659436007,
7.466042861454874,4.875452352231604,4.875236620203063,6.905186385737439,5.563700384122919,3.029467680608365,4.185126582278481,5.530911062906725,16.321460911560518,7.418576598311218,18.152985716744105,9.532414910858995,14.941741357234315,5.944866920152092,6.549050632911392,8.196312364425163,4.294597041955932,3.2647768395657417,3.2082257786955775,3.2807941653160455,5.570102432778489,2.8545627376425857,3.034018987341772,3.4376355748373104,
7.296106248113492,5.693003618817853,5.397005678884874,6.93354943273906,6.460627400768246,3.277566539923954,4.176424050632911,5.349240780911063,16.212798068216117,7.093486127864898,18.269144725520565,10.044975688816855,15.94302176696543,5.571292775665399,6.799841772151899,7.449023861171367,4.022939933594929,2.9867310012062727,3.300292548614696,3.1758508914100485,5.441101152368758,3.3108365019011408,2.9082278481012658,3.355748373101952,
7.479625716872925,5.214716525934861,5.071244192049561,7.092787682333873,6.536491677336747,3.3697718631178706,4.162183544303797,6.010303687635575,16.776033806217928,7.1308805790108565,17.487523662020305,9.418152350081037,15.30729833546735,5.798479087452471,7.099683544303797,7.407809110629067,4.1548445517657715,3.0078407720144753,3.1982447083118224,3.158833063209076,5.714468629961588,3.1454372623574143,3.0862341772151898,3.3411062906724514,
6.499849079384244,5.2445717732207475,4.833247289623128,6.643030794165316,6.334507042253521,3.28041825095057,3.945411392405063,5.786876355748373,15.268035013582855,6.895958986731001,16.975563586301842,9.410858995137763,16.0460947503201,5.807034220532319,6.980221518987341,6.817787418655097,4.000905523694537,3.09167671893848,3.0901738082946135,3.134927066450567,6.8114596670934695,2.942015209125475,3.1471518987341773,3.6268980477223427,
7.067612435858738,5.249396863691194,4.656513508862502,7.0757698541329015,6.7727272727272725,3.328897338403042,4.072784810126582,5.617678958785249,15.332025354663447,6.958986731001207,16.447083118224057,9.38452188006483,15.901088348271447,5.9638783269961975,7.5799050632911396,7.595986984815618,4.039843042559614,3.029252110977081,3.160557563242127,3.331847649918963,7.054417413572343,2.7480988593155895,2.9651898734177213,3.3850325379609543,
6.732568668880169,5.601326899879373,5.212355876785407,7.211102106969205,6.254481434058899,3.1577946768060836,3.9857594936708862,5.374186550976138,14.646543917899185,6.95416164053076,16.514197212183788,10.449756888168558,16.15717029449424,6.236692015209125,7.22626582278481,7.523318872017353,3.7051011168125565,3.1939083232810614,3.3586301841335398,3.4983792544570504,7.912291933418694,2.932509505703422,3.2531645569620253,3.2988069414316703,
