D_1,D_2,D_3,D_4,D_5,D_6,D_7,D_8,D_9,D_10,D_11,D_12,D_13,D_14,D_15,D_16,D_17,D_18,D_19,D_20,D_21,D_22,D_23,D_24,D_25,D_26,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,
120.4306358381503,52.31416247304098,66.91629955947137,64.69330199764983,158.8492268041237,74.53528399311531,27.108299595141702,103.04141716566866,56.3826714801444,12.775071633237822,62.99519230769231,55.054421768707485,60.021671826625386,105.02363896848138,48.018450184501845,52.416666666666664,83.6104513064133,103.41459074733096,101.94237012987013,26.243034055727556,173.86024844720498,79.78840579710145,102.39285714285714,79.78643724696356,69.49922600619195,29.966318234610917,905.5756262042389,331.10639827462256,549.9845814977973,644.2279670975323,1099.6709621993127,485.75731497418246,294.94028340080973,899.8373253493014,570.48059566787,21.946991404011463,454.3016826923077,566.3628117913833,555.1857585139319,666.7414040114613,434.9138991389914,499.35641025641024,674.4204275534441,797.1192170818505,695.5227272727273,154.80572755417955,978.1362023070097,708.3942028985507,759.7207792207793,432.07793522267207,545.2763157894736,334.8815331010453,
109.66184971098266,50.73544212796549,54.11013215859031,82.92538190364277,146.7577319587629,76.04388984509467,25.80263157894737,99.37475049900199,57.599729241877256,14.181232091690545,65.07692307692308,53.67913832199547,58.32120743034056,107.93409742120343,48.69249692496925,55.12307692307692,87.43942992874109,101.88345195729538,108.37256493506493,23.062693498452013,176.26796805678794,90.08695652173913,100.04301948051948,78.42813765182186,61.05185758513932,28.097560975609756,905.2572254335261,332.26815240833935,549.7422907488987,640.2420681551116,1107.269759450172,482.6669535283993,298.4625506072874,901.316367265469,565.5717509025271,21.761461318051577,448.7043269230769,558.0181405895692,548.156346749226,677.8259312320916,434.4938499384994,498.41282051282053,676.6508313539192,791.0008896797153,708.9172077922078,146.64783281733747,1001.1109139307897,712.3304347826087,752.1477272727273,434.36842105263156,558.1486068111456,324.1022067363531,
102.85500963391137,42.42487419122933,52.83480176211454,79.89659224441833,145.95146048109964,78.92598967297762,27.66497975708502,91.34680638722556,52.04873646209386,17.570916905444125,60.06129807692308,47.14399092970522,51.56037151702786,94.5945558739255,43.14575645756457,48.55641025641026,84.6769596199525,98.9982206405694,107.53084415584415,20.86455108359133,174.2950310559006,78.93333333333334,95.47402597402598,77.96153846153847,57.1625386996904,28.960511033681765,900.2996146435453,326.7023723939612,543.7588105726873,635.4823736780259,1115.5648625429553,488.34251290877796,293.29352226720647,902.8028942115768,557.6236462093863,24.73997134670487,457.24158653846155,548.3480725623583,541.0100619195047,680.7134670487106,428.1353013530135,492.10769230769233,676.6999208234363,784.5747330960854,715.0511363636364,143.38699690402476,1014.3522626441882,705.8173913043478,754.9910714285714,425.52530364372467,542.5526315789474,322.5876887340302,
115.04142581888247,44.62904385334292,54.91740088105727,82.07814336075205,152.65420962199312,79.3829604130809,27.321862348178136,95.79890219560878,47.23871841155235,13.504297994269342,54.50120192307692,37.791383219954646,43.97291021671827,100.92048710601719,46.29581795817958,51.30897435897436,85.43309580364212,99.25978647686833,106.82142857142857,22.441950464396285,161.66237799467612,76.59420289855072,93.53977272727273,73.81983805668017,62.70665634674923,25.86875725900116,901.721098265896,322.59094176851187,547.1222466960353,625.4148061104582,1118.7353951890034,479.58347676419965,294.90283400809716,899.9925149700599,559.1231949458484,24.763610315186245,453.31490384615387,549.0068027210884,544.6230650154798,683.3624641833811,430.6826568265683,491.80384615384617,673.7387173396675,791.329181494662,722.4772727272727,136.83049535603715,1027.4094942324757,707.4289855072464,750.9147727272727,423.80971659919027,532.5820433436533,323.7433217189315,
127.41570327552986,45.90079079798706,70.62995594713657,64.64218566392479,144.32731958762886,69.24698795180723,24.163967611336034,73.47504990019961,49.83528880866426,10.973495702005732,50.91947115384615,42.38095238095238,49.021671826625386,100.31518624641834,48.67589175891759,54.77564102564103,76.4528899445764,95.51512455516014,107.31087662337663,21.434984520123837,163.5270629991127,76.80434782608695,94.12662337662337,75.43825910931174,62.26315789473684,25.21022067363531,891.9792870905587,317.36879942487417,543.8392070484582,626.307285546416,1107.9493127147766,474.0249569707401,299.48582995951415,889.5743512974052,546.0812274368232,24.964899713467048,448.95072115384613,529.0283446712018,537.3374613003095,674.4591690544413,432.24169741697415,497.7076923076923,667.5589865399842,778.8158362989324,732.1785714285714,134.4496904024768,1056.9338952972494,701.0188405797102,740.8709415584416,412.7844129554656,528.4040247678018,316.6794425087108,
114.623795761079,50.688713156002876,49.20704845814978,54.548178613396004,135.62929553264604,62.484509466437174,20.356275303643724,76.37275449101796,45.52752707581227,10.94054441260745,47.87259615384615,38.42403628117914,45.728328173374614,92.58381088825215,42.90651906519065,48.17948717948718,76.06175771971496,92.02669039145907,100.22321428571429,19.16331269349845,165.5164152617569,81.60579710144927,97.55844155844156,75.08097165991903,58.18653250773994,24.872241579558654,899.2711946050097,307.37670740474476,543.5209251101321,620.0464159811986,1115.338058419244,466.6936316695353,300.8613360323887,905.0528942115768,544.3149819494585,26.540114613180517,447.68149038461536,518.8253968253969,531.5642414860681,683.5157593123209,430.82779827798277,491.22564102564104,663.4576405384006,778.1147686832741,728.8457792207793,132.77244582043343,1052.3012422360248,708.231884057971,744.3409090909091,398.8927125506073,505.36687306501545,319.37166085946575,
107.0621387283237,44.78001437814522,55.75550660792952,60.19506462984724,134.77104810996565,65.14974182444062,23.10931174089069,81.80339321357286,41.171480144404335,11.624641833810887,47.91586538461539,49.843537414965986,55.94969040247678,94.57879656160459,45.29950799507995,49.80641025641026,71.70625494853523,93.54715302491103,103.37987012987013,22.148606811145513,148.69387755102042,79.22173913043478,101.55275974025975,74.85323886639677,53.70743034055727,25.565621370499418,898.7514450867052,304.28396836808054,533.7775330396476,617.5675675675676,1102.8595360824743,464.447504302926,299.37348178137654,906.0309381237525,535.0712996389892,26.297994269340975,452.76802884615387,510.0283446712018,529.1486068111456,676.8065902578796,432.4489544895449,489.8346153846154,656.3998416468726,771.2197508896797,722.8506493506494,128.2941176470588,1051.0705412599823,691.8014492753623,732.200487012987,398.67914979757086,496.5890092879257,322.90011614401857,
103.53179190751445,45.07117181883537,49.48788546255506,65.72796709753231,127.97766323024055,68.31497418244406,22.410931174089068,76.98403193612775,44.91606498194946,11.482808022922637,47.69591346153846,36.92403628117914,43.328173374613,91.32163323782235,45.02521525215252,50.44871794871795,70.14251781472684,97.22864768683274,103.58198051948052,20.770897832817337,146.05412599822537,75.36666666666666,89.80844155844156,73.1336032388664,54.455882352941174,24.559814169570267,895.4768786127167,304.0424155283968,528.8997797356828,613.1398354876616,1111.3419243986255,463.7065404475043,299.2398785425101,892.4655688622754,528.8925992779783,26.70916905444126,449.99158653846155,516.6462585034013,535.125386996904,673.3954154727794,430.98093480934807,486.15,656.6634996041172,771.329181494662,717.8676948051948,124.48916408668731,1048.7315882874889,690.2449275362319,723.5194805194806,405.86234817813767,494.4202786377709,315.7026713124274,
101.13487475915221,44.51186196980589,55.91079295154185,60.37720329024677,125.17225085910653,63.485370051635115,21.969635627530366,71.74500998003992,40.53971119133574,10.802292263610315,45.90384615384615,36.894557823129254,43.54798761609907,91.71060171919771,42.42435424354244,47.20128205128205,70.6825019794141,95.25978647686833,101.97483766233766,20.86764705882353,147.1064773735581,77.88115942028986,92.06331168831169,74.48481781376518,53.752321981424146,25.48896631823461,892.3309248554913,301.61538461538464,533.2852422907489,614.048178613396,1104.120704467354,462.1635111876076,297.21457489878543,873.0683632734531,519.865523465704,28.456303724928368,442.6394230769231,510.07936507936506,529.3475232198142,680.6454154727794,430.48031980319803,488.9512820512821,662.8796516231196,763.9279359430604,723.3741883116883,125.30417956656346,1037.1685891748004,677.368115942029,717.4025974025974,398.63765182186233,486.296439628483,313.77351916376307,
101.14113680154142,44.599568655643424,48.965859030837,57.87779083431257,122.23067010309278,63.51204819277108,19.84919028340081,72.54091816367266,42.03249097472924,11.42621776504298,44.35576923076923,37.19501133786848,43.87538699690403,85.71131805157593,42.410209102091024,48.36282051282051,69.08630245447348,87.73220640569394,99.73457792207792,22.243808049535605,148.96140195208517,75.47536231884058,90.37418831168831,71.26214574898785,52.578173374613,22.69802555168409,891.723506743738,302.95614665708126,529.5892070484582,619.5487661574618,1096.085910652921,466.4500860585198,298.82793522267207,872.9266467065868,523.6750902527076,28.783667621776505,439.03846153846155,516.1678004535147,537.1369969040247,672.2191977077364,434.94526445264455,492.64102564102564,664.7798891528108,766.520462633452,730.609577922078,122.50696594427245,1036.4529724933452,690.259420289855,709.0519480519481,401.0101214574899,480.3157894736842,312.4436701509872,
