G1,G2,G3,G4,G5,G6,G7,B1,B2,B3,B4,B5,B6,B7,T1,T2,T3,T4,T5,T6,T7,
2.877831159917639,3.0407811602527284,3.089974293059126,3.121387283236994,3.1401425178147266,3.110576923076923,3.1391705069124423,3.2010981468771447,3.6473291211947156,5.456298200514139,5.480250481695569,5.229612034837688,2.8822115384615383,5.272811059907834,4.483870967741935,4.825962090752441,6.046272493573265,6.067437379576108,6.070467141726049,4.540865384615385,6.236866359447005,
2.672614962251201,3.1303848363009763,3.382390745501285,3.3429672447013488,3.204275534441805,2.795673076923077,2.908755760368664,3.8442004118050788,3.5399195864445723,5.2975578406169666,5.3376685934489405,5.706254948535234,3.137019230769231,5.000921658986175,4.994509265614276,5.034462952326249,6.326478149100257,6.293352601156069,6.371338083927157,4.318509615384615,6.055299539170507,
3.060398078242965,3.092475588742102,2.9697943444730077,2.9990366088631983,2.9897070467141726,2.7319711538461537,2.921658986175115,3.5648592999313657,3.9442848937392303,5.496786632390745,5.421483622350674,5.128266033254157,2.8100961538461537,5.20184331797235,4.692518874399451,5.420448018380241,6.579691516709511,6.5669556840077075,6.474267616785432,4.3954326923076925,6.271889400921659,
2.822923816060398,3.2067777139574956,3.0507712082262213,3.0284200385356455,2.7505938242280283,3.2163461538461537,3.029493087557604,3.7762525737817434,3.9253302699597934,5.427377892030848,5.434007707129094,4.927949326999208,2.9795673076923075,5.145622119815668,5.023335621139327,4.751866743251005,6.763496143958869,6.726878612716763,5.802058590657166,4.538461538461538,6.049769585253456,
3.1791352093342486,2.9948305571510625,2.9299485861182517,2.9166666666666665,3.041963578780681,3.324519230769231,2.8221198156682026,3.5065202470830474,4.137851809304997,5.610539845758355,5.503371868978806,4.817102137767221,2.921875,4.988940092165898,4.683596431022649,5.364732912119472,7.040488431876606,7.00626204238921,6.758511480601742,4.550480769230769,6.104147465437788,
2.873713109128346,2.88799540493969,3.209511568123393,3.161849710982659,2.9683293745051467,3.0372596153846154,3.0110599078341016,3.51681537405628,3.753015508328547,5.450514138817481,5.395953757225434,4.660332541567696,2.7295673076923075,5.0930875576036865,5.0329444063143445,5.218265364732912,7.294987146529563,7.132947976878612,5.539984164687253,4.675480769230769,6.266359447004608,
2.9094028826355527,3.259620907524411,3.256426735218509,3.228805394990366,3.049089469517023,3.0985576923076925,2.9889400921658984,3.7899794097460537,3.7863296955772543,5.78598971722365,5.710500963391137,4.880443388756928,3.097355769230769,5.317972350230415,4.619080301990391,5.301550832854681,6.877249357326479,6.7398843930635834,5.365795724465558,4.362980769230769,6.006451612903226,
2.9025394646533975,3.0143595634692706,3.1008997429305913,3.1064547206165702,2.905779889152811,2.798076923076923,2.774193548387097,3.842827728208648,3.6381390005743826,6.277634961439588,6.123795761078998,4.713380839271576,2.9471153846153846,5.011059907834102,5.079615648592999,5.047673750717978,7.2589974293059125,7.310211946050097,5.605700712589074,4.800480769230769,6.606451612903226,
2.969114619080302,4.292935094773119,5.208868894601542,5.504335260115607,3.1575613618368963,2.902644230769231,3.442396313364055,3.6650652024708306,3.9890867317633543,6.568766066838046,6.348265895953757,5.214568487727632,3.0685096153846154,5.0202764976958525,5.180507892930679,5.040206777713958,6.386246786632391,6.372832369942197,5.780680918448139,5.046875,5.962211981566821,
3.12079615648593,3.1912693854106835,3.2101542416452444,3.153660886319846,2.707046714172605,2.7992788461538463,2.8930875576036867,3.932052161976664,3.4641010913268238,5.140102827763497,5.0342003853564545,4.969912905779889,2.9867788461538463,5.257142857142857,4.915579958819492,5.2130959218839745,6.2872750642673525,6.226878612716763,5.463182897862233,5.038461538461538,6.8589861751152075,
