T1,T2,T3,T4,T5,T6,T7
5.019903912,5.092475589,6.280205656,6.478323699,5.914489311,4.966346154,7.397235023
5.541523679,5.154508903,6.046915167,6.155587669,5.598574822,4.680288462,7.078341014
4.754975978,4.781160253,6.350899743,6.483622351,5.404592241,4.587740385,7.457142857
5.009608785,5.380241241,6.172236504,6.299614644,5.463182898,4.128605769,6.919815668
5.344543583,5.235496841,6.146529563,6.247591522,5.57165479,4.610576923,7.202764977
5.23266987,5.085008616,6.261568123,6.362235067,5.108471892,5.288461538,7.811981567
5.295813315,5.208500862,6.176092545,6.133429672,4.996041172,4.697115385,7.614746544
5.133836651,5.48650201,6.594473008,6.565028902,4.953285827,4.563701923,7.107834101
5.367879204,5.124066628,6.827763496,6.650289017,4.836896279,4.629807692,7.008294931
5.452299245,5.228029868,5.982647815,5.9022158,4.847980998,4.614182692,5.86359447
5.485929993,5.297530155,5.699228792,5.66522158,4.91290578,5.024038462,6.298617512
5.875772135,5.170591614,5.602827763,5.668111753,5.69517023,4.724759615,6.622119816
5.07618394,5.130384836,5.402956298,5.440751445,4.787806809,4.651442308,6.075576037
5.028826356,5.205628949,5.508997429,5.383911368,4.719714964,4.581730769,6.455299539
5.019903912,5.19241815,5.396529563,5.320809249,5.224861441,4.955528846,5.773271889
4.617021277,5.063182079,5.885604113,5.650770713,4.756927949,4.145432692,5.843317972
5.394646534,4.948305572,6.109254499,5.983622351,4.634996041,4.824519231,6.432258065
4.760466712,5.175186674,5.618251928,5.449421965,4.933491686,4.533653846,5.894930876
5.223061084,4.955198162,4.950514139,4.959055877,4.787806809,4.375,5.760368664
4.525737817,4.825387708,5.598329049,5.545279383,5.030087094,4.409855769,5.756682028
4.506520247,5.037334865,5.526992288,5.477360308,4.826603325,4.659855769,5.857142857
4.964310226,4.669155658,5.391388175,5.319845857,4.958828187,4.602163462,6.270967742
4.833905285,5.134979897,5.946015424,5.88583815,4.273159145,5.195913462,6.383410138
5.137954701,5.22860425,5.363753213,5.258188825,4.34125099,4.573317308,6.436866359
4.432395333,5.48420448,5.35218509,5.229768786,4.556611243,4.367788462,6.122580645
5.142759094,4.862722573,5.235861183,5.190751445,4.432304038,5.082932692,6.216589862
4.875772135,5.177484204,5.451156812,5.383911368,4.622327791,5.147836538,6.699539171
5.247769389,5.445146468,5.584832905,5.5761079,4.656373713,4.425480769,5.932718894
4.624571036,5.291211947,5.218508997,5.275529865,4.616785432,5.532451923,6.247004608
5.130404942,4.954623779,5.829048843,5.752408478,4.883610451,4.443509615,6.496774194
5.121482498,5.539345204,5.623393316,5.622350674,5.091844814,4.448317308,6.59078341
4.890185312,5.076392878,5.088688946,5.082369942,4.719714964,4.491586538,5.988018433
4.920384351,5.039058013,5.582904884,5.497109827,4.835312747,4.194711538,6.348387097
4.862045299,5.788627226,5.125321337,5.193641618,4.681710214,4.778846154,5.879262673
